event_id,trip_id,timestamp,event_type,event_value,severity_level,phone_interaction_type
EVT-TRIP-0d6-3,TRIP-0d6689-1,2025-09-11 16:37:58,SPEEDING,0.73,1,APP
EVT-TRIP-0d6-0,TRIP-0d6689-2,2025-09-11 16:37:28,SPEEDING,1.39,4,TEXT
EVT-TRIP-0d6-1,TRIP-0d6689-2,2025-09-11 16:37:38,SPEEDING,1.21,3,CALL
EVT-TRIP-0d6-2,TRIP-0d6689-2,2025-09-11 16:37:48,DISTRACTION,1.24,2,CALL
EVT-TRIP-0d6-3,TRIP-0d6689-2,2025-09-11 16:37:58,HARD_BRAKE,0.67,3,TEXT
EVT-TRIP-0d6-4,TRIP-0d6689-2,2025-09-11 16:38:08,SPEEDING,1.4,2,CALL
EVT-TRIP-226-0,TRIP-226b8b-0,2025-09-11 16:37:28,HARD_BRAKE,1.19,2,APP
EVT-TRIP-226-1,TRIP-226b8b-0,2025-09-11 16:37:38,DISTRACTION,1.02,4,TEXT
EVT-TRIP-226-2,TRIP-226b8b-0,2025-09-11 16:37:48,DISTRACTION,1.19,2,CALL
EVT-TRIP-226-3,TRIP-226b8b-0,2025-09-11 16:37:58,HARD_BRAKE,1.26,5,TEXT
EVT-TRIP-226-4,TRIP-226b8b-0,2025-09-11 16:38:08,DISTRACTION,0.85,2,TEXT
EVT-TRIP-226-0,TRIP-226b8b-1,2025-09-11 16:37:28,SPEEDING,0.93,1,TEXT
EVT-TRIP-226-1,TRIP-226b8b-1,2025-09-11 16:37:38,SPEEDING,0.89,1,APP
EVT-TRIP-226-2,TRIP-226b8b-1,2025-09-11 16:37:48,SPEEDING,1.45,1,APP
EVT-TRIP-226-3,TRIP-226b8b-1,2025-09-11 16:37:58,HARD_BRAKE,1.29,1,APP
EVT-TRIP-226-4,TRIP-226b8b-1,2025-09-11 16:38:08,DISTRACTION,1.06,2,APP
EVT-TRIP-226-0,TRIP-226b8b-2,2025-09-11 16:37:28,SPEEDING,1.42,1,CALL
EVT-TRIP-226-1,TRIP-226b8b-2,2025-09-11 16:37:38,DISTRACTION,1.34,4,TEXT
EVT-TRIP-226-2,TRIP-226b8b-2,2025-09-11 16:37:48,HARD_BRAKE,0.98,2,TEXT
EVT-TRIP-ee2-0,TRIP-ee2ebd-0,2025-09-11 16:37:28,HARD_BRAKE,1.15,1,NONE
EVT-TRIP-ee2-1,TRIP-ee2ebd-0,2025-09-11 16:37:38,DISTRACTION,0.91,1,APP
EVT-TRIP-ee2-2,TRIP-ee2ebd-0,2025-09-11 16:37:48,HARD_BRAKE,1.35,3,NONE
EVT-TRIP-ee2-3,TRIP-ee2ebd-0,2025-09-11 16:37:58,SPEEDING,0.56,4,CALL
EVT-TRIP-ee2-4,TRIP-ee2ebd-0,2025-09-11 16:38:08,SPEEDING,0.59,5,TEXT
EVT-TRIP-ee2-0,TRIP-ee2ebd-1,2025-09-11 16:37:28,SPEEDING,1.47,2,APP
EVT-TRIP-ee2-1,TRIP-ee2ebd-1,2025-09-11 16:37:38,SPEEDING,0.62,4,TEXT
EVT-TRIP-ee2-2,TRIP-ee2ebd-1,2025-09-11 16:37:48,HARD_BRAKE,0.51,1,APP
EVT-TRIP-ee2-3,TRIP-ee2ebd-1,2025-09-11 16:37:58,HARD_BRAKE,0.89,5,NONE
EVT-TRIP-ee2-0,TRIP-ee2ebd-2,2025-09-11 16:37:28,DISTRACTION,1.13,1,CALL
EVT-TRIP-ee2-1,TRIP-ee2ebd-2,2025-09-11 16:37:38,SPEEDING,0.56,2,APP
EVT-TRIP-ee2-2,TRIP-ee2ebd-2,2025-09-11 16:37:48,DISTRACTION,0.52,5,TEXT
EVT-TRIP-ee2-3,TRIP-ee2ebd-2,2025-09-11 16:37:58,SPEEDING,0.63,3,TEXT
EVT-TRIP-1f9-0,TRIP-1f92be-0,2025-09-11 16:37:28,SPEEDING,1.41,2,TEXT
EVT-TRIP-1f9-1,TRIP-1f92be-0,2025-09-11 16:37:38,SPEEDING,1.05,5,CALL
EVT-TRIP-1f9-2,TRIP-1f92be-0,2025-09-11 16:37:48,DISTRACTION,1.39,3,CALL
EVT-TRIP-1f9-3,TRIP-1f92be-0,2025-09-11 16:37:58,DISTRACTION,1.45,4,TEXT
EVT-TRIP-1f9-4,TRIP-1f92be-0,2025-09-11 16:38:08,SPEEDING,0.79,2,APP
EVT-TRIP-1f9-0,TRIP-1f92be-1,2025-09-11 16:37:28,SPEEDING,1.23,3,TEXT
EVT-TRIP-1f9-1,TRIP-1f92be-1,2025-09-11 16:37:38,SPEEDING,1.06,5,TEXT
EVT-TRIP-1f9-2,TRIP-1f92be-1,2025-09-11 16:37:48,DISTRACTION,1.19,4,TEXT
EVT-TRIP-1f9-0,TRIP-1f92be-2,2025-09-11 16:37:28,HARD_BRAKE,1.07,2,TEXT
EVT-TRIP-1f9-1,TRIP-1f92be-2,2025-09-11 16:37:38,DISTRACTION,1.28,5,APP
EVT-TRIP-b68-0,TRIP-b68ed9-0,2025-09-11 16:37:28,DISTRACTION,1.27,1,TEXT
EVT-TRIP-b68-1,TRIP-b68ed9-0,2025-09-11 16:37:38,HARD_BRAKE,1.37,1,TEXT
EVT-TRIP-b68-2,TRIP-b68ed9-0,2025-09-11 16:37:48,HARD_BRAKE,1.33,4,CALL
EVT-TRIP-b68-0,TRIP-b68ed9-1,2025-09-11 16:37:28,HARD_BRAKE,1.28,2,NONE
EVT-TRIP-b68-1,TRIP-b68ed9-1,2025-09-11 16:37:38,HARD_BRAKE,0.97,1,TEXT
EVT-TRIP-b68-2,TRIP-b68ed9-1,2025-09-11 16:37:48,DISTRACTION,0.51,4,APP
EVT-TRIP-b68-3,TRIP-b68ed9-1,2025-09-11 16:37:58,DISTRACTION,0.78,3,APP
EVT-TRIP-b68-4,TRIP-b68ed9-1,2025-09-11 16:38:08,HARD_BRAKE,0.57,3,NONE
EVT-TRIP-b68-0,TRIP-b68ed9-2,2025-09-11 16:37:28,HARD_BRAKE,1.14,1,CALL
EVT-TRIP-b68-1,TRIP-b68ed9-2,2025-09-11 16:37:38,HARD_BRAKE,0.89,4,NONE
EVT-TRIP-b68-2,TRIP-b68ed9-2,2025-09-11 16:37:48,DISTRACTION,1.39,3,CALL
EVT-TRIP-7fa-0,TRIP-7fa981-0,2025-09-11 16:37:28,DISTRACTION,1.41,4,APP
EVT-TRIP-7fa-1,TRIP-7fa981-0,2025-09-11 16:37:38,SPEEDING,0.57,1,APP
EVT-TRIP-7fa-2,TRIP-7fa981-0,2025-09-11 16:37:48,HARD_BRAKE,0.57,1,CALL
EVT-TRIP-7fa-3,TRIP-7fa981-0,2025-09-11 16:37:58,SPEEDING,0.89,3,APP
EVT-TRIP-7fa-4,TRIP-7fa981-0,2025-09-11 16:38:08,HARD_BRAKE,1.18,3,TEXT
EVT-TRIP-7fa-0,TRIP-7fa981-1,2025-09-11 16:37:28,SPEEDING,0.67,5,NONE
EVT-TRIP-7fa-1,TRIP-7fa981-1,2025-09-11 16:37:38,SPEEDING,0.84,5,CALL
EVT-TRIP-7fa-2,TRIP-7fa981-1,2025-09-11 16:37:48,HARD_BRAKE,1.25,4,CALL
EVT-TRIP-7fa-3,TRIP-7fa981-1,2025-09-11 16:37:58,HARD_BRAKE,0.75,1,APP
EVT-TRIP-7fa-0,TRIP-7fa981-2,2025-09-11 16:37:28,HARD_BRAKE,0.62,3,APP
EVT-TRIP-7fa-1,TRIP-7fa981-2,2025-09-11 16:37:38,DISTRACTION,1.4,1,TEXT
EVT-TRIP-f26-0,TRIP-f26713-0,2025-09-11 16:37:28,DISTRACTION,0.65,3,CALL
EVT-TRIP-f26-1,TRIP-f26713-0,2025-09-11 16:37:38,SPEEDING,1.35,2,TEXT
EVT-TRIP-f26-2,TRIP-f26713-0,2025-09-11 16:37:48,DISTRACTION,0.87,1,APP
EVT-TRIP-f26-0,TRIP-f26713-1,2025-09-11 16:37:28,HARD_BRAKE,1.18,4,NONE
EVT-TRIP-f26-1,TRIP-f26713-1,2025-09-11 16:37:38,DISTRACTION,0.81,4,CALL
EVT-TRIP-f26-0,TRIP-f26713-2,2025-09-11 16:37:28,HARD_BRAKE,1.03,1,TEXT
EVT-TRIP-f26-1,TRIP-f26713-2,2025-09-11 16:37:38,SPEEDING,0.86,5,APP
EVT-TRIP-f26-2,TRIP-f26713-2,2025-09-11 16:37:48,SPEEDING,0.53,5,TEXT
EVT-TRIP-f26-3,TRIP-f26713-2,2025-09-11 16:37:58,SPEEDING,0.8,3,TEXT
EVT-TRIP-617-0,TRIP-617530-0,2025-09-11 16:37:28,HARD_BRAKE,1.32,5,TEXT
EVT-TRIP-617-1,TRIP-617530-0,2025-09-11 16:37:38,SPEEDING,0.69,1,APP
EVT-TRIP-617-2,TRIP-617530-0,2025-09-11 16:37:48,DISTRACTION,0.59,1,TEXT
EVT-TRIP-617-3,TRIP-617530-0,2025-09-11 16:37:58,HARD_BRAKE,1.13,4,TEXT
EVT-TRIP-617-4,TRIP-617530-0,2025-09-11 16:38:08,HARD_BRAKE,0.84,2,APP
EVT-TRIP-617-0,TRIP-617530-1,2025-09-11 16:37:28,DISTRACTION,1.4,5,APP
EVT-TRIP-617-1,TRIP-617530-1,2025-09-11 16:37:38,DISTRACTION,1.35,2,CALL
EVT-TRIP-617-2,TRIP-617530-1,2025-09-11 16:37:48,SPEEDING,1.12,5,APP
EVT-TRIP-617-3,TRIP-617530-1,2025-09-11 16:37:58,SPEEDING,0.52,3,APP
EVT-TRIP-617-0,TRIP-617530-2,2025-09-11 16:37:28,SPEEDING,0.76,4,CALL
EVT-TRIP-617-1,TRIP-617530-2,2025-09-11 16:37:38,HARD_BRAKE,0.59,5,TEXT
EVT-TRIP-617-2,TRIP-617530-2,2025-09-11 16:37:48,HARD_BRAKE,1.12,3,APP
EVT-TRIP-617-3,TRIP-617530-2,2025-09-11 16:37:58,DISTRACTION,0.67,3,APP
EVT-TRIP-62d-0,TRIP-62d8ed-0,2025-09-11 16:37:28,DISTRACTION,1.09,3,CALL
EVT-TRIP-62d-1,TRIP-62d8ed-0,2025-09-11 16:37:38,SPEEDING,0.56,5,NONE
EVT-TRIP-62d-2,TRIP-62d8ed-0,2025-09-11 16:37:48,DISTRACTION,0.96,1,TEXT
EVT-TRIP-62d-3,TRIP-62d8ed-0,2025-09-11 16:37:58,DISTRACTION,0.69,4,APP
EVT-TRIP-62d-4,TRIP-62d8ed-0,2025-09-11 16:38:08,SPEEDING,1.0,1,CALL
EVT-TRIP-62d-0,TRIP-62d8ed-1,2025-09-11 16:37:28,SPEEDING,1.16,4,NONE
EVT-TRIP-62d-1,TRIP-62d8ed-1,2025-09-11 16:37:38,SPEEDING,1.48,1,CALL
EVT-TRIP-62d-0,TRIP-62d8ed-2,2025-09-11 16:37:28,SPEEDING,0.85,3,TEXT
EVT-TRIP-62d-1,TRIP-62d8ed-2,2025-09-11 16:37:38,SPEEDING,0.81,2,APP
EVT-TRIP-62d-2,TRIP-62d8ed-2,2025-09-11 16:37:48,DISTRACTION,0.63,5,CALL
EVT-TRIP-62d-3,TRIP-62d8ed-2,2025-09-11 16:37:58,DISTRACTION,0.78,4,TEXT
EVT-TRIP-62d-4,TRIP-62d8ed-2,2025-09-11 16:38:08,HARD_BRAKE,1.16,4,TEXT
EVT-TRIP-ba0-0,TRIP-ba0985-0,2025-09-11 16:37:28,DISTRACTION,1.28,2,APP
EVT-TRIP-ba0-1,TRIP-ba0985-0,2025-09-11 16:37:38,HARD_BRAKE,0.93,4,CALL
EVT-TRIP-ba0-0,TRIP-ba0985-1,2025-09-11 16:37:28,SPEEDING,0.93,4,APP
EVT-TRIP-ba0-1,TRIP-ba0985-1,2025-09-11 16:37:38,SPEEDING,0.66,3,APP
EVT-TRIP-ba0-2,TRIP-ba0985-1,2025-09-11 16:37:48,SPEEDING,1.33,3,CALL
EVT-TRIP-ba0-3,TRIP-ba0985-1,2025-09-11 16:37:58,HARD_BRAKE,0.92,2,CALL
EVT-TRIP-ba0-0,TRIP-ba0985-2,2025-09-11 16:37:28,DISTRACTION,1.22,1,CALL
EVT-TRIP-ba0-1,TRIP-ba0985-2,2025-09-11 16:37:38,HARD_BRAKE,0.7,2,APP
EVT-TRIP-ba0-2,TRIP-ba0985-2,2025-09-11 16:37:48,HARD_BRAKE,1.25,1,APP
EVT-TRIP-ba0-3,TRIP-ba0985-2,2025-09-11 16:37:58,DISTRACTION,1.43,3,APP
EVT-TRIP-ba0-4,TRIP-ba0985-2,2025-09-11 16:38:08,HARD_BRAKE,1.27,4,APP
EVT-TRIP-b6b-0,TRIP-b6b842-0,2025-09-11 16:37:28,DISTRACTION,0.74,3,NONE
EVT-TRIP-b6b-1,TRIP-b6b842-0,2025-09-11 16:37:38,SPEEDING,1.15,4,NONE
EVT-TRIP-b6b-2,TRIP-b6b842-0,2025-09-11 16:37:48,DISTRACTION,1.19,3,NONE
EVT-TRIP-b6b-0,TRIP-b6b842-1,2025-09-11 16:37:28,SPEEDING,1.44,4,NONE
EVT-TRIP-b6b-1,TRIP-b6b842-1,2025-09-11 16:37:38,SPEEDING,0.5,4,TEXT
EVT-TRIP-b6b-2,TRIP-b6b842-1,2025-09-11 16:37:48,HARD_BRAKE,1.47,4,NONE
EVT-TRIP-b6b-0,TRIP-b6b842-2,2025-09-11 16:37:28,SPEEDING,0.97,5,NONE
EVT-TRIP-b6b-1,TRIP-b6b842-2,2025-09-11 16:37:38,SPEEDING,0.59,2,NONE
EVT-TRIP-b6b-2,TRIP-b6b842-2,2025-09-11 16:37:48,HARD_BRAKE,1.02,4,APP
EVT-TRIP-3ac-0,TRIP-3ac54b-0,2025-09-11 16:37:28,SPEEDING,0.94,5,APP
EVT-TRIP-3ac-1,TRIP-3ac54b-0,2025-09-11 16:37:38,HARD_BRAKE,1.19,5,CALL
EVT-TRIP-3ac-2,TRIP-3ac54b-0,2025-09-11 16:37:48,DISTRACTION,1.38,4,TEXT
EVT-TRIP-3ac-3,TRIP-3ac54b-0,2025-09-11 16:37:58,DISTRACTION,1.03,5,APP
EVT-TRIP-3ac-4,TRIP-3ac54b-0,2025-09-11 16:38:08,SPEEDING,1.43,5,TEXT
EVT-TRIP-3ac-0,TRIP-3ac54b-1,2025-09-11 16:37:28,SPEEDING,0.58,2,APP
EVT-TRIP-3ac-1,TRIP-3ac54b-1,2025-09-11 16:37:38,SPEEDING,0.63,2,TEXT
EVT-TRIP-3ac-2,TRIP-3ac54b-1,2025-09-11 16:37:48,HARD_BRAKE,1.0,2,APP
EVT-TRIP-3ac-3,TRIP-3ac54b-1,2025-09-11 16:37:58,DISTRACTION,1.15,4,NONE
EVT-TRIP-3ac-0,TRIP-3ac54b-2,2025-09-11 16:37:28,DISTRACTION,1.44,5,CALL
EVT-TRIP-3ac-1,TRIP-3ac54b-2,2025-09-11 16:37:38,SPEEDING,0.59,5,CALL
EVT-TRIP-3ac-2,TRIP-3ac54b-2,2025-09-11 16:37:48,HARD_BRAKE,1.39,5,TEXT
EVT-TRIP-3ac-3,TRIP-3ac54b-2,2025-09-11 16:37:58,DISTRACTION,0.61,4,NONE
EVT-TRIP-3ac-4,TRIP-3ac54b-2,2025-09-11 16:38:08,HARD_BRAKE,1.22,5,NONE
EVT-TRIP-14f-0,TRIP-14f121-0,2025-09-11 16:37:28,DISTRACTION,0.76,5,CALL
EVT-TRIP-14f-1,TRIP-14f121-0,2025-09-11 16:37:38,HARD_BRAKE,1.31,5,NONE
EVT-TRIP-14f-2,TRIP-14f121-0,2025-09-11 16:37:48,SPEEDING,0.84,5,APP
EVT-TRIP-14f-0,TRIP-14f121-1,2025-09-11 16:37:28,HARD_BRAKE,1.29,2,TEXT
EVT-TRIP-14f-1,TRIP-14f121-1,2025-09-11 16:37:38,SPEEDING,1.19,2,TEXT
EVT-TRIP-14f-2,TRIP-14f121-1,2025-09-11 16:37:48,HARD_BRAKE,1.01,1,NONE
EVT-TRIP-14f-0,TRIP-14f121-2,2025-09-11 16:37:28,DISTRACTION,1.1,3,NONE
EVT-TRIP-14f-1,TRIP-14f121-2,2025-09-11 16:37:38,SPEEDING,1.03,1,APP
EVT-TRIP-14f-2,TRIP-14f121-2,2025-09-11 16:37:48,HARD_BRAKE,0.59,5,CALL
EVT-TRIP-b10-0,TRIP-b10049-0,2025-09-11 16:37:28,HARD_BRAKE,0.92,4,CALL
EVT-TRIP-b10-1,TRIP-b10049-0,2025-09-11 16:37:38,DISTRACTION,0.61,2,APP
EVT-TRIP-b10-0,TRIP-b10049-1,2025-09-11 16:37:28,DISTRACTION,0.69,1,TEXT
EVT-TRIP-b10-1,TRIP-b10049-1,2025-09-11 16:37:38,SPEEDING,1.36,1,CALL
EVT-TRIP-b10-2,TRIP-b10049-1,2025-09-11 16:37:48,SPEEDING,0.68,2,CALL
EVT-TRIP-b10-3,TRIP-b10049-1,2025-09-11 16:37:58,HARD_BRAKE,1.21,3,APP
EVT-TRIP-b10-0,TRIP-b10049-2,2025-09-11 16:37:28,HARD_BRAKE,0.67,2,TEXT
EVT-TRIP-b10-1,TRIP-b10049-2,2025-09-11 16:37:38,SPEEDING,0.87,5,TEXT
EVT-TRIP-b10-2,TRIP-b10049-2,2025-09-11 16:37:48,SPEEDING,1.46,1,TEXT
EVT-TRIP-4f0-0,TRIP-4f0572-0,2025-09-11 16:37:28,DISTRACTION,0.52,2,CALL
EVT-TRIP-4f0-1,TRIP-4f0572-0,2025-09-11 16:37:38,HARD_BRAKE,1.08,4,CALL
EVT-TRIP-4f0-2,TRIP-4f0572-0,2025-09-11 16:37:48,DISTRACTION,1.05,1,APP
EVT-TRIP-4f0-3,TRIP-4f0572-0,2025-09-11 16:37:58,SPEEDING,0.57,3,NONE
EVT-TRIP-4f0-0,TRIP-4f0572-1,2025-09-11 16:37:28,SPEEDING,1.42,5,TEXT
EVT-TRIP-4f0-1,TRIP-4f0572-1,2025-09-11 16:37:38,HARD_BRAKE,1.42,4,TEXT
EVT-TRIP-4f0-2,TRIP-4f0572-1,2025-09-11 16:37:48,SPEEDING,1.37,4,APP
EVT-TRIP-4f0-0,TRIP-4f0572-2,2025-09-11 16:37:28,SPEEDING,1.43,4,TEXT
EVT-TRIP-4f0-1,TRIP-4f0572-2,2025-09-11 16:37:38,HARD_BRAKE,1.44,5,TEXT
EVT-TRIP-4f0-2,TRIP-4f0572-2,2025-09-11 16:37:48,HARD_BRAKE,0.63,1,APP
EVT-TRIP-4f0-3,TRIP-4f0572-2,2025-09-11 16:37:58,DISTRACTION,0.71,4,TEXT
EVT-TRIP-f61-0,TRIP-f6118f-0,2025-09-11 16:37:28,DISTRACTION,0.85,2,TEXT
EVT-TRIP-f61-1,TRIP-f6118f-0,2025-09-11 16:37:38,SPEEDING,1.15,1,CALL
EVT-TRIP-f61-2,TRIP-f6118f-0,2025-09-11 16:37:48,HARD_BRAKE,1.46,5,APP
EVT-TRIP-f61-3,TRIP-f6118f-0,2025-09-11 16:37:58,DISTRACTION,1.42,1,CALL
EVT-TRIP-f61-0,TRIP-f6118f-1,2025-09-11 16:37:28,SPEEDING,1.3,3,CALL
EVT-TRIP-f61-1,TRIP-f6118f-1,2025-09-11 16:37:38,DISTRACTION,1.06,2,TEXT
EVT-TRIP-f61-2,TRIP-f6118f-1,2025-09-11 16:37:48,HARD_BRAKE,1.29,4,CALL
EVT-TRIP-f61-0,TRIP-f6118f-2,2025-09-11 16:37:28,HARD_BRAKE,1.36,3,NONE
EVT-TRIP-f61-1,TRIP-f6118f-2,2025-09-11 16:37:38,SPEEDING,1.4,4,APP
EVT-TRIP-f61-2,TRIP-f6118f-2,2025-09-11 16:37:48,DISTRACTION,1.21,5,NONE
EVT-TRIP-f61-3,TRIP-f6118f-2,2025-09-11 16:37:58,DISTRACTION,1.23,5,NONE
EVT-TRIP-f61-4,TRIP-f6118f-2,2025-09-11 16:38:08,HARD_BRAKE,0.7,2,NONE
EVT-TRIP-a19-0,TRIP-a19777-0,2025-09-11 16:37:28,DISTRACTION,1.42,4,APP
EVT-TRIP-a19-1,TRIP-a19777-0,2025-09-11 16:37:38,SPEEDING,1.07,4,APP
EVT-TRIP-a19-2,TRIP-a19777-0,2025-09-11 16:37:48,SPEEDING,0.68,4,APP
EVT-TRIP-a19-3,TRIP-a19777-0,2025-09-11 16:37:58,DISTRACTION,1.05,4,CALL
EVT-TRIP-a19-4,TRIP-a19777-0,2025-09-11 16:38:08,SPEEDING,1.03,5,NONE
EVT-TRIP-a19-0,TRIP-a19777-1,2025-09-11 16:37:28,HARD_BRAKE,1.32,2,TEXT
EVT-TRIP-a19-1,TRIP-a19777-1,2025-09-11 16:37:38,SPEEDING,1.41,2,CALL
EVT-TRIP-a19-2,TRIP-a19777-1,2025-09-11 16:37:48,DISTRACTION,1.26,3,CALL
EVT-TRIP-a19-3,TRIP-a19777-1,2025-09-11 16:37:58,DISTRACTION,1.46,4,CALL
EVT-TRIP-a19-4,TRIP-a19777-1,2025-09-11 16:38:08,DISTRACTION,1.19,4,TEXT
EVT-TRIP-a19-0,TRIP-a19777-2,2025-09-11 16:37:28,HARD_BRAKE,0.72,5,CALL
EVT-TRIP-a19-1,TRIP-a19777-2,2025-09-11 16:37:38,SPEEDING,1.2,3,CALL
EVT-TRIP-a19-2,TRIP-a19777-2,2025-09-11 16:37:48,HARD_BRAKE,1.05,5,NONE
EVT-TRIP-a19-3,TRIP-a19777-2,2025-09-11 16:37:58,HARD_BRAKE,0.62,3,TEXT
EVT-TRIP-9a4-0,TRIP-9a4e68-0,2025-09-11 16:37:28,HARD_BRAKE,1.09,3,NONE
EVT-TRIP-9a4-1,TRIP-9a4e68-0,2025-09-11 16:37:38,DISTRACTION,1.48,1,CALL
EVT-TRIP-9a4-2,TRIP-9a4e68-0,2025-09-11 16:37:48,HARD_BRAKE,1.11,5,APP
EVT-TRIP-9a4-0,TRIP-9a4e68-1,2025-09-11 16:37:28,DISTRACTION,0.51,5,NONE
EVT-TRIP-9a4-1,TRIP-9a4e68-1,2025-09-11 16:37:38,HARD_BRAKE,1.01,3,TEXT
EVT-TRIP-9a4-0,TRIP-9a4e68-2,2025-09-11 16:37:28,DISTRACTION,1.09,2,APP
EVT-TRIP-9a4-1,TRIP-9a4e68-2,2025-09-11 16:37:38,HARD_BRAKE,0.89,1,APP
EVT-TRIP-9a4-2,TRIP-9a4e68-2,2025-09-11 16:37:48,SPEEDING,0.88,2,NONE
EVT-TRIP-9a4-3,TRIP-9a4e68-2,2025-09-11 16:37:58,DISTRACTION,1.41,2,APP
EVT-TRIP-c50-0,TRIP-c501ac-0,2025-09-11 16:37:28,SPEEDING,0.67,4,TEXT
EVT-TRIP-c50-1,TRIP-c501ac-0,2025-09-11 16:37:38,HARD_BRAKE,1.03,1,CALL
EVT-TRIP-c50-0,TRIP-c501ac-1,2025-09-11 16:37:28,HARD_BRAKE,0.72,1,APP
EVT-TRIP-c50-1,TRIP-c501ac-1,2025-09-11 16:37:38,DISTRACTION,1.23,3,CALL
EVT-TRIP-c50-2,TRIP-c501ac-1,2025-09-11 16:37:48,SPEEDING,1.4,2,APP
EVT-TRIP-c50-3,TRIP-c501ac-1,2025-09-11 16:37:58,DISTRACTION,1.1,2,NONE
EVT-TRIP-c50-4,TRIP-c501ac-1,2025-09-11 16:38:08,DISTRACTION,0.65,4,CALL
EVT-TRIP-c50-0,TRIP-c501ac-2,2025-09-11 16:37:28,DISTRACTION,0.59,4,APP
EVT-TRIP-c50-1,TRIP-c501ac-2,2025-09-11 16:37:38,DISTRACTION,0.72,2,CALL
EVT-TRIP-04d-0,TRIP-04d738-0,2025-09-11 16:37:28,HARD_BRAKE,0.68,1,APP
EVT-TRIP-04d-1,TRIP-04d738-0,2025-09-11 16:37:38,DISTRACTION,1.49,2,CALL
