driver_id,events_processed,hard_brakes,speeding,avg_speed,rolling_risk_score
bf5ba9d2-a0c1-4fe1-b6de-3a8d1651d8ec,1055,17,16,42.1,184.5
3c6f2338-6643-4503-bc2e-ff22f27bbdb4,1578,45,29,43.5,52.0
f64a6ece-2a88-423b-8aa4-e3fda15d1dae,1551,17,19,32.9,62.8
b91e6998-6a2b-4cef-882e-24b280e7d505,608,1,15,41.8,81.2
6f10f124-ee28-425f-9ba4-99b65402d456,875,34,24,49.5,54.0
9599fa05-d72c-4aba-a374-9d60fff8d516,134,15,21,42.4,77.2
c48d69d2-aee5-435a-a4ec-21e505d2106a,305,40,12,36.2,137.5
8393dd3d-2ac9-4fa6-af9c-cbc8e85bf040,1204,35,26,38.4,113.2
604621d4-70e3-4955-ba99-aaf5bedd0246,1685,32,18,62.3,183.9
02fd7a73-7543-41cd-9887-004fc74dff3f,1995,3,16,44.4,172.6
c1597df6-9b76-4e42-b2b0-0399ad36e6c3,1511,32,3,55.5,101.3
d6a0a56f-b6b6-4bf8-b38e-1405199502e3,1125,13,11,65.2,88.9
025a84b9-8ffa-4118-b785-668967daff9e,1121,20,28,78.3,107.0
b79ad725-dc37-45bb-829a-1bc63dbb7021,1513,47,8,32.8,138.5
f6f3b7f9-ebb8-4e86-831a-3c6cb9036e02,665,19,18,86.0,90.2
ff2932bb-8ce8-47a6-96f2-b6abecf5087d,1229,7,11,74.0,143.6
45803aaf-dce5-4d85-bacf-c1c99f44bb50,1895,6,8,35.7,111.4
232981b4-8cd3-44b0-9cc7-c5c2552a3e4a,1945,2,6,91.2,132.8
f9397723-9482-4ccc-b92c-43b4d5ec06b1,1600,16,27,94.5,115.4
ce3a2717-136f-4dc7-868b-e1f69a5adc78,802,32,13,34.3,94.2
8d4a011c-353d-4972-b2b1-6dfca18db048,501,47,19,49.4,192.3
cb52d799-473d-4c95-a5c6-3b2f7af0e439,829,11,18,86.4,164.5
e39887dd-ee77-46a1-a9a0-056016da709f,1679,21,25,82.4,71.0
366013ed-9cd2-4ef5-8a3d-89e20ae760cc,261,21,14,42.9,180.3
cf8f4de1-6eb6-4e40-990d-b1ad7323d34c,301,45,15,44.7,123.1
6d8ef278-4be6-4798-a391-cc9fadf380ee,1095,29,20,55.9,184.2
4707595c-c633-48be-a4db-173c5cfbcb26,369,37,4,63.9,170.0
4db8ff6e-4840-4cef-abe1-bfc7809d9731,1986,37,2,73.3,113.8
dd08a99d-5e4b-47c4-9723-b2344dfaa341,915,44,11,55.8,53.4
9dd62653-5c36-47f7-a2fa-7510746c370f,1394,7,24,62.4,90.3
57642a95-46b6-44b0-8940-719cee9e0e22,555,26,19,82.3,131.2
7619aa69-b45f-4c22-8edb-36f6277211fc,1585,26,26,32.6,145.0
8ee14e8e-e3c5-4ddd-8a39-0728056ca43b,1850,33,20,47.7,88.7
a1026f68-fe8d-4749-ac8a-18d61ab60629,1375,20,3,79.9,70.9
967cb014-a46b-4d6e-b8fd-490c9c31bebe,1116,29,20,92.7,175.2
93b6d01d-1985-4d2d-ba5d-3919d7cbc54f,1825,32,22,65.8,197.7
b341f968-e7a6-490d-aa3a-5c289dd29753,395,27,15,67.2,128.9
8ae25e23-5170-4d48-95b4-0d34f3b443cd,1848,46,24,37.5,75.8
c212e540-221a-433f-9a30-d2ae2a1f7d6e,819,32,6,61.3,90.8
37e6e7de-f0b6-4d17-8126-4a1f20fa5750,1872,4,12,67.3,52.8
2fa87d5c-583f-4607-a85f-7a53974591c9,437,47,20,47.0,187.1
ad9ff66b-dbc0-442f-ae8d-2e16fb0cd7d7,978,18,9,48.8,67.7
c99f2f38-1c51-46c6-937a-ce911ed9c337,1176,3,25,56.4,136.5
7bb9c05f-1dc5-4afb-86f6-1e81755cc244,891,34,6,31.4,91.1
8d40f1c8-35a6-483f-9c3b-530f08654653,316,48,13,52.5,133.1
d8c4d22e-5f4f-4a1b-b7db-6d869032a31e,863,16,25,44.8,147.7
4aa88b8f-2d30-4cd7-8ab8-7c89c78edf59,287,43,4,52.9,174.5
e75c70a2-002c-4f4a-835e-2b71c3fef6aa,479,27,2,38.4,81.0
9dcdb1dd-8df9-40f2-8704-0be4b4ea53bd,592,29,22,92.3,51.6
1c7122c8-f14e-4069-bdb6-484f887c1638,1164,28,28,71.6,70.5
d9e82448-cdde-4579-9642-81fb190babee,1280,45,10,77.5,185.0
82f4ac24-c5c8-4722-9cae-428258b4a498,114,5,10,85.2,181.1
a20f9639-0c5a-46e7-860c-6b18e0a74994,1936,34,17,64.9,139.6
906b3762-f86a-47e7-8230-efce258ecb4f,164,40,14,36.1,140.1
c27a9130-76df-47e7-ae07-6bc7342488f8,1980,36,11,67.6,149.8
6ebabeed-4ade-4c04-bb7b-41030559e877,1962,23,8,71.1,76.3
6769ff4f-6ce0-4c79-91de-8e57de44494f,620,28,9,82.2,187.2
2794f854-87df-4431-b57b-82b38b4590b6,1467,48,25,60.2,112.8
b04eab5e-077a-4835-8482-5e8f709acdc1,1252,45,11,38.9,107.5
b3d8706b-ad54-40b6-a02e-6ad4f089d3c4,747,30,16,49.9,127.8
20c865f5-9d66-40a7-9018-aad08e67b6cb,1595,34,28,55.4,57.0
c98e0fa1-55d8-4cf8-93dc-66945300e08c,1186,32,5,75.2,74.9
680a9527-37f8-4302-a9bf-50eb8269797b,1262,20,6,70.0,160.7
4539ce36-3af4-4057-9899-c846ba4369f5,1622,31,13,54.9,62.4
7dba6d2e-1dee-4afa-84fc-d354499b8426,692,22,12,99.1,140.5
8a5e7f35-8e1e-4c3b-93d6-996c1a0ebc28,491,32,7,72.4,86.8
788b0cc5-7c02-4e95-a4b6-d900b31f9563,1798,2,9,46.6,108.4
73d21d25-0fcc-4b25-9bfc-286483460395,518,17,8,37.1,93.3
1778c0b4-5783-43f0-8b74-9592e44e8093,388,24,17,40.7,103.4
b1cf81dc-7ba9-4c49-8b97-412105d6d63f,478,41,26,47.2,157.9
ed018830-5dfb-4e91-9458-d72c827778ba,1896,30,25,41.2,94.6
7c673641-2223-4550-95aa-19249abd883a,1613,2,1,43.1,135.0
e7a8dc53-dc90-4743-b917-331190d32375,330,39,4,50.0,121.4
deaa75c5-08b7-4323-9567-15750deeb523,1117,45,28,42.1,149.6
03db2bb2-07ae-40cf-8b35-fe3036b4d98d,140,23,4,92.8,190.5
e7b956ae-096e-4613-971f-687524b71618,1151,49,5,35.6,159.9
24f4826d-9714-4458-8511-3f2677b95670,234,31,18,66.7,82.2
c22d8473-2061-4bcc-a0bb-6ba41a84ee21,300,46,7,58.7,54.7
ba2a6325-67a7-42de-a3d3-05b3fdd2638b,1963,21,15,98.8,89.3
32da5465-ce65-4966-96bb-9aa17b22e37f,879,22,12,37.8,139.3
caf6175b-6749-47a0-834d-b0734cbd20c1,1029,1,0,57.8,57.7
86640ad7-fdc1-4a1f-946b-4677d733793d,1156,26,21,97.9,124.5
a87a3193-6327-4538-8eed-7124d1847317,1171,41,19,90.6,139.5
b00038f0-e26c-4f25-862c-b36e5a915732,602,1,16,87.2,100.1
b11f662a-b4b8-41de-b3de-370102c7ca07,506,25,6,48.1,165.6
5153a235-f6e7-47af-914b-69f4145abeee,1697,16,24,42.0,66.0
78596ed1-a38e-461b-92d6-2d5e291a973d,1851,39,12,76.8,61.3
052b7ad1-62a2-45e6-b031-b19992170c0e,904,32,3,95.1,159.2
55bfa841-815f-4250-8019-51d1d61cae1e,198,8,3,69.0,124.3
16db4636-621f-4b14-9307-cd0872f8e49b,783,42,5,70.0,153.3
efc2d156-0d66-4353-add4-0db648aca1c4,1995,47,27,49.6,115.2
cc14a95c-8498-4049-a588-c2243e5e7387,825,38,18,83.9,87.0
51d4f234-73d8-4cd0-8ba9-91d03e3ac5d4,1670,28,28,43.1,172.9
0ab19421-a76d-47ed-ae16-143e6fd55441,1060,41,11,52.7,169.9
2f514e11-fcf5-45f8-b57f-f375a1383e5b,1862,25,21,59.8,154.2
c4c18905-f881-4620-b0d4-36b2db16a3a2,712,34,6,65.5,90.8
7e178e45-cb65-433f-96be-1b239a291e46,1585,49,26,47.0,138.5
68a8812a-9549-4b2b-aa02-04186c4d9b16,742,24,9,38.0,104.1
578c8a09-45c3-4609-a46e-988633f51590,1892,23,25,72.7,63.7
2bb0a543-1db6-49ae-9f8e-f984f44f7ada,1128,12,18,50.2,187.6
bd455e35-4cd0-4ce4-a3a5-30870bbf5af9,1341,6,6,70.7,70.5
99dedba7-c244-4597-9dac-5c8de9b7042c,602,35,29,40.8,192.5
6ca513d1-c597-41da-9d77-97b7af80af40,866,44,2,63.7,116.9
e13b5930-f82d-4997-a097-6d28148a01bc,497,19,12,67.3,77.8
4710ddd4-e2e5-4598-b516-8c7907aa9747,970,0,12,33.6,131.3
7ba662d6-9c45-4b32-b72d-2e2040474609,894,7,17,53.6,180.9
64bad30a-2ae7-4196-a85e-89a6571a36aa,492,45,27,39.4,159.8
5ee0e574-0e97-4380-ae58-667bf03690b0,306,15,29,34.4,171.0
38e905c0-79cc-4bfc-889b-767f8c01e9b0,1138,13,25,99.3,148.8
4fbbd46b-4424-46f1-9015-2ada49925ea8,1981,11,19,52.6,153.8
e506ac82-4586-49bf-83dc-3a8c4ca975d1,1677,22,27,86.7,177.4
1b458e52-ee1d-4069-9735-cf395574beb6,991,14,7,47.8,87.5
1b752933-5079-4fce-94cd-6abcd8fc1588,1584,27,28,77.7,123.4
ef864b0b-62d9-4ec3-a6db-f9117cd24ad2,1814,33,8,83.2,83.2
2d790d57-7f3f-4e87-8acc-e0869b869578,1698,1,6,71.7,198.2
e30e01f7-39d4-4324-98ed-431dff73ce5f,963,31,0,63.0,191.6
d0e0065d-3f6f-4853-9ab7-cca1e4af0aae,842,22,2,58.8,55.9
a96dff98-78a2-407c-aef4-8135c9c9b7f3,1364,21,12,54.4,155.8
8a3869b3-73da-4e65-9510-dfb63712d5eb,663,24,27,95.1,188.8
f327a68d-d98f-44f4-9586-6a15b3a0cdef,1120,21,29,88.1,77.1
98899c59-58d5-433e-abc2-4da36ab55e18,195,21,24,97.6,135.2
2d21b8bd-1ba5-4630-af17-194cea32756f,1857,48,27,38.7,187.3
f652504e-fbcd-48b8-b2c6-9a4e884c69aa,584,41,16,81.2,55.1
beb32545-6490-4409-9081-b0506be4a1e0,1530,5,24,95.7,154.6
3a1d1aa5-9432-4910-9245-53a4a8549d22,330,14,23,42.7,94.6
1863ed15-1d1d-4513-a462-0fa8b4b11772,848,42,0,34.7,188.7
3730307e-8abb-4f84-894f-ebe11514184c,1778,36,5,81.9,195.7
03256d34-542b-4a25-b30b-5df6ab86920a,1294,32,20,70.2,191.6
8cc82a2f-6a78-4637-83e8-92771b799fb7,640,7,5,88.9,121.1
a379eaf4-6775-45f8-a9cf-564b6412daca,1159,43,25,39.8,179.3
0a17c977-e0d1-4d78-a3eb-948e4e5a4679,624,43,11,85.7,176.7
2a370bbd-53f7-413e-8345-36aaa6e2d86a,1283,4,12,44.1,97.9
b0409262-7d2b-4aea-9285-3284e8c03204,1962,38,12,41.5,174.3
e2c22377-77ff-438a-8100-9836c61b9075,1822,3,28,41.5,55.6
4b309dc8-f22e-484b-a762-3759513970fb,1366,5,14,87.0,139.4
bdd69a4d-63f5-441f-8a8b-d53fcd33f0e1,1209,44,20,76.6,84.5
86efb78f-410d-4308-9ae5-500012ac8e5d,1919,31,15,66.6,68.1
52e662a6-6848-40d6-895f-f5c4b51f7d8d,677,29,21,55.1,61.5
5036ebbb-cbf2-41b7-9f94-97a2f074eb18,781,46,20,91.4,154.4
f26a946a-f7ac-437b-b39b-d512eaf73062,656,34,10,57.5,101.0
0314f29d-b8ca-4871-aab4-289dfe3889bc,1697,39,27,87.2,158.7
0f2e58d4-7160-4c0b-a070-7a1c25c651dc,1112,15,4,60.7,59.8
b9f7a279-ad01-42f6-8374-0f90fa6fbc93,745,12,3,56.4,97.3
077e99d3-bd66-43f7-9615-4f3c3e608c96,895,49,2,62.4,130.9
d3e19e35-84dc-448c-ae2a-e5772a3689ca,1151,41,18,51.1,168.6
e6bfeda1-e3b7-4cb7-ad71-a150258e13e9,1743,29,19,82.3,97.8
34b7385a-a03c-46e2-84ca-2dfef59ca398,1679,18,24,65.2,143.9
c576d878-b679-4445-a834-e5c84f7a6fc8,1463,16,17,46.3,182.9
5c19c0f3-9b6a-4a16-a7ed-4f58236bf2be,1921,18,14,93.0,142.4
7eb4e65b-ea35-471a-ab2a-52351901188e,1454,27,8,56.9,84.9
46310028-63a2-49ae-812b-19622e61ba07,1763,25,16,68.0,53.7
839474c2-72c1-4a5d-a0d0-ff9b5b185cac,1629,36,13,93.5,180.5
da5f724d-5ac1-47a4-8f0e-8890ea14393e,1471,25,14,73.7,53.2
035d17e2-282d-443a-baf8-a3c77cf54faa,1596,22,0,38.2,181.2
9450eaea-253d-42e4-9e31-e270ffa3d0f1,1354,8,20,95.8,129.3
258f5f33-d884-4f3c-86f5-de9f20ce665d,289,11,21,73.9,190.9
b162eb5c-be7f-44b4-a501-c212925ef183,1348,0,21,53.4,169.8
66431abb-30f9-4678-91f2-97b94295464c,1508,0,2,39.7,199.7
2deb8c74-5fad-4814-b709-c2f8788a2996,1500,46,15,85.6,102.6
6370ff8b-14c8-49de-89c8-13ef0deca5f0,1406,33,22,73.4,165.1
2fb8122e-6bd1-4049-aa9e-e1423739a846,732,31,24,67.3,110.3
bd40eed9-3c82-47c0-863c-3356e01e1537,727,47,10,92.6,122.0
3e885548-039b-4827-99cd-c3c1f3888108,1072,24,11,85.2,144.1
0391ba2a-fab1-42ee-85ac-b46905d47de2,1868,39,9,40.6,181.1
ff7f17e7-f085-4761-9dac-2cf84dfee165,1382,44,15,51.8,197.6
44370a91-5242-4d32-8d37-449ad650909c,1482,0,7,47.4,165.2
ff89634e-8c1f-41e3-976f-969435f29eb4,809,15,5,82.1,112.7
861a06b9-0d5c-4f97-a7b1-e3a7cc79d954,1579,38,11,32.3,113.2
3a7cc497-c14b-49d7-9138-76c66e5dabf6,1534,4,23,69.9,160.6
c326c4ee-c3f9-4c30-8b54-0e37ac798dd7,748,21,27,83.4,85.8
3d03f92b-4fc6-4d81-bb90-601bf440f2ec,417,28,20,91.4,66.6
3c1f8fcd-26fd-4f4d-ac1b-cb0c7803e8a4,1800,2,7,53.9,103.2
2fa06339-afb2-49ac-852a-0ff9adbff7d6,1348,11,25,87.5,93.1
38c773c1-1bf4-468b-9a49-9a4310fc1d6f,1942,25,27,37.7,94.4
25d5f94f-716b-4436-a016-ea1a33e605ae,1357,15,3,89.3,85.0
a75d9602-579c-4f30-93c2-41ba5bfbd7bd,783,36,25,38.9,56.3
30c99640-3322-4e42-b3e9-67eebe3902b9,763,21,7,57.8,52.7
18250854-857c-43f6-96a4-183ee41e0e70,1950,28,25,85.8,198.2
36dcc893-82d8-487a-acec-4541df60da71,1497,13,27,40.5,114.2
5832a43c-1be0-480e-9ac6-c761edecb2f7,1795,27,17,46.0,107.6
44e1c518-6aca-45b7-8f51-121a252c1e07,1731,4,27,80.6,151.9
840f1b25-815c-4c4b-9ba4-c791c715d8ed,1595,46,27,80.4,82.7
73f78c2b-7b0b-4a39-b41e-36a7baea61e8,1356,48,4,74.9,192.5
9d8deec0-790d-4f0f-be72-662ef6761354,1815,29,8,78.6,168.0
5e2b5cc6-435a-49f2-a688-73002212c984,1236,45,3,68.0,63.4
42943112-0d9f-4763-a200-db10c7f5e1aa,1953,4,26,47.6,112.6
6c9419a6-dcab-48d0-bdce-6fc372734f30,1620,11,21,54.2,181.9
c93dacf1-1e97-42e1-9ea7-c5d5d020ef05,541,15,16,42.7,191.7
91d70c24-71fa-4443-9a17-067d73a490a5,663,25,8,93.6,120.1
ccbe8c85-fedb-4b3c-b60e-3de9dbee0463,1391,25,0,70.8,142.0
cd864f10-f524-4718-9794-e9d23600abda,1633,47,20,58.1,75.1
a4b94d11-6f54-4819-ba14-d250895ac2b4,1930,20,19,62.3,198.7
a5b8289b-d7c0-41f0-a9d1-32af6b84891a,1509,38,12,96.3,84.8
87ef9f85-ae3e-4c24-a232-d153c90cb256,1510,35,27,40.7,191.4
21d03481-37c5-4c1a-8531-feeb22570faa,1236,32,15,71.0,147.4
712c917e-2502-4f30-868a-6ec01a1bd729,1736,29,28,65.4,141.2
8378438f-7a66-443f-a551-430c4f5963d5,1748,36,12,72.8,126.9
a39652a1-d66b-49d1-9b4b-7249ee774e67,1051,22,13,31.3,84.6
ce9bf2de-2efd-41a1-b922-5df15df9172a,1204,9,2,91.0,76.5
7e20b9ab-33a9-4cdb-9033-c35953de15ef,798,4,28,95.2,83.1
55634e0f-d428-45bf-93e7-ee7b5daf1e32,212,35,5,69.6,78.0
2a935a07-b5fc-4a0e-bf09-7e0740cba199,101,33,17,78.8,166.9
84c5b2d2-7266-416a-bd7f-f4531d6f5f60,741,30,18,94.6,102.5
e1c73466-5dac-43ad-b5e1-0448c1800728,319,9,4,79.5,58.7
ee1757ef-44f2-40c3-8e9e-8311a1f9f1e6,1689,18,14,40.7,195.4
26ed0fe0-af60-4c4e-a408-b84a4ea69dc1,954,31,24,70.3,182.6
c6ba1bd3-01ed-4e5c-8c78-5c7f98c39792,1859,0,1,72.5,189.2
cb06c4c8-bce7-4b6f-9cd8-3f5645166d16,1348,4,9,59.7,199.2
fecab0dc-8f48-4e62-ac02-4cc9d4c367eb,484,44,23,81.6,76.1
e065ed35-af4c-4bca-8041-c0985a84dba5,1526,3,29,95.4,109.4
4ec67247-1a8f-42b7-947e-cc0dbf4dd669,1761,15,17,94.8,163.7
1bad945e-9681-481b-a709-d100c4050074,1253,23,26,61.6,154.4
712ceb9a-4202-48f2-a7ed-ab4eda80c9fd,1176,15,12,37.9,73.1
5f2fb780-116d-4d0a-b80c-8f0ba15b542a,1807,1,4,98.9,172.4
278db7bc-314c-4482-a9e9-abd4f00b1a2d,829,48,22,88.7,83.7
af857c91-4423-4f4d-aeba-6dc93726cb26,1795,27,23,38.7,83.6
720d3a4a-d75f-452c-bc8a-8985ea5eeaba,1833,31,0,94.5,130.5
19f7fde9-7bc5-43b4-858f-917cbfbe4df3,1539,26,21,90.9,138.9
0cd799fc-7a54-4795-b847-9e722a6b3b72,346,19,0,66.3,137.0
9a5987b5-157d-4e59-922b-120c41971720,935,23,17,71.4,63.7
278c8ab4-83f4-4e0e-8de7-ca2f805952e6,1562,11,14,57.9,181.6
8baaff5c-63d8-41b5-832d-8269942841f8,302,49,16,33.8,89.8
46e0efbf-6a67-4975-8828-a3578e14e58a,1307,34,10,53.5,69.4
