driver_id,predicted_risk_prob,predicted_risk_class
8be14f15-b6cb-4720-bd01-9799a2adc0fb,0.2,Low
4ec25da5-3707-4688-a984-996af0326468,0.05,Medium
f2672570-1002-4929-bf67-76997837b036,0.33,Medium
fabbb555-1915-4945-9d75-2c7d7e56afa8,0.39,Low
fca4a08d-594e-484f-b8b7-b7e9d9aa61e1,0.27,High
09c0d3e7-83a2-49e0-8355-24c103901880,0.83,Low
0e795dfe-4e7e-4086-8d64-22e61d2642e3,0.36,Medium
210ef1ec-e053-4f1a-b6d4-630c520d9c7e,0.28,Medium
951b6dfb-1515-4917-a883-aea2702e8635,0.54,Low
32760059-f375-44f2-8b76-dd16cd2df8c7,0.14,High
c21d5215-76b0-4555-be17-51eeca4eedd2,0.8,Medium
49284ef7-15f8-436b-88ba-e010af518326,0.07,Medium
38fb6ffa-90c4-44d9-aea5-dbd92f4f3675,0.99,Medium
c99bef6b-b003-4f6c-88b5-da05f8c9e059,0.77,Low
2d4d57b2-5dc9-4cd4-b91a-dc0ee4bb6557,0.2,Medium
bb5a3eef-bdbc-4324-993b-69e846e79eec,0.01,High
7a0fabdd-8943-44c8-9fdc-128f8a5993e2,0.82,Medium
5fb8316f-6987-453b-9be3-6036d66e9321,0.71,Medium
31a4e6b7-05ed-402a-952b-17d5aeb0c7a6,0.73,High
f5d9c3f8-9328-4006-91b3-521a8d1c833a,0.77,Medium
bf5ba9d2-a0c1-4fe1-b6de-3a8d1651d8ec,0.07,Low
3c6f2338-6643-4503-bc2e-ff22f27bbdb4,0.36,Low
f64a6ece-2a88-423b-8aa4-e3fda15d1dae,0.12,Low
b91e6998-6a2b-4cef-882e-24b280e7d505,0.86,High
6f10f124-ee28-425f-9ba4-99b65402d456,0.62,Medium
9599fa05-d72c-4aba-a374-9d60fff8d516,0.33,Low
c48d69d2-aee5-435a-a4ec-21e505d2106a,0.06,High
8393dd3d-2ac9-4fa6-af9c-cbc8e85bf040,0.31,Medium
604621d4-70e3-4955-ba99-aaf5bedd0246,0.33,High
02fd7a73-7543-41cd-9887-004fc74dff3f,0.73,Low
c1597df6-9b76-4e42-b2b0-0399ad36e6c3,0.64,Low
d6a0a56f-b6b6-4bf8-b38e-1405199502e3,0.89,Low
025a84b9-8ffa-4118-b785-668967daff9e,0.47,High
b79ad725-dc37-45bb-829a-1bc63dbb7021,0.12,High
f6f3b7f9-ebb8-4e86-831a-3c6cb9036e02,0.71,Low
ff2932bb-8ce8-47a6-96f2-b6abecf5087d,0.76,High
45803aaf-dce5-4d85-bacf-c1c99f44bb50,0.56,Low
232981b4-8cd3-44b0-9cc7-c5c2552a3e4a,0.77,Low
f9397723-9482-4ccc-b92c-43b4d5ec06b1,0.49,Medium
ce3a2717-136f-4dc7-868b-e1f69a5adc78,0.52,High
8d4a011c-353d-4972-b2b1-6dfca18db048,0.43,Low
cb52d799-473d-4c95-a5c6-3b2f7af0e439,0.03,Low
e39887dd-ee77-46a1-a9a0-056016da709f,0.11,High
366013ed-9cd2-4ef5-8a3d-89e20ae760cc,0.03,Medium
cf8f4de1-6eb6-4e40-990d-b1ad7323d34c,0.64,Medium
6d8ef278-4be6-4798-a391-cc9fadf380ee,0.31,Low
4707595c-c633-48be-a4db-173c5cfbcb26,0.51,High
4db8ff6e-4840-4cef-abe1-bfc7809d9731,0.91,Medium
dd08a99d-5e4b-47c4-9723-b2344dfaa341,0.25,High
9dd62653-5c36-47f7-a2fa-7510746c370f,0.41,High
57642a95-46b6-44b0-8940-719cee9e0e22,0.76,Low
7619aa69-b45f-4c22-8edb-36f6277211fc,0.23,Medium
8ee14e8e-e3c5-4ddd-8a39-0728056ca43b,0.08,Low
a1026f68-fe8d-4749-ac8a-18d61ab60629,0.29,Medium
967cb014-a46b-4d6e-b8fd-490c9c31bebe,0.16,Medium
93b6d01d-1985-4d2d-ba5d-3919d7cbc54f,0.93,Medium
b341f968-e7a6-490d-aa3a-5c289dd29753,0.81,Medium
8ae25e23-5170-4d48-95b4-0d34f3b443cd,0.63,Medium
c212e540-221a-433f-9a30-d2ae2a1f7d6e,0.87,High
37e6e7de-f0b6-4d17-8126-4a1f20fa5750,0.8,Low
2fa87d5c-583f-4607-a85f-7a53974591c9,0.19,High
ad9ff66b-dbc0-442f-ae8d-2e16fb0cd7d7,0.89,Medium
c99f2f38-1c51-46c6-937a-ce911ed9c337,0.54,Low
7bb9c05f-1dc5-4afb-86f6-1e81755cc244,0.81,Medium
8d40f1c8-35a6-483f-9c3b-530f08654653,0.9,Low
d8c4d22e-5f4f-4a1b-b7db-6d869032a31e,0.32,High
4aa88b8f-2d30-4cd7-8ab8-7c89c78edf59,0.11,Low
e75c70a2-002c-4f4a-835e-2b71c3fef6aa,0.23,Low
9dcdb1dd-8df9-40f2-8704-0be4b4ea53bd,0.43,Low
1c7122c8-f14e-4069-bdb6-484f887c1638,0.82,Low
d9e82448-cdde-4579-9642-81fb190babee,0.86,Low
82f4ac24-c5c8-4722-9cae-428258b4a498,0.01,Medium
a20f9639-0c5a-46e7-860c-6b18e0a74994,0.51,Low
906b3762-f86a-47e7-8230-efce258ecb4f,0.42,Low
c27a9130-76df-47e7-ae07-6bc7342488f8,0.22,High
6ebabeed-4ade-4c04-bb7b-41030559e877,0.12,Low
6769ff4f-6ce0-4c79-91de-8e57de44494f,0.34,High
2794f854-87df-4431-b57b-82b38b4590b6,0.94,Medium
b04eab5e-077a-4835-8482-5e8f709acdc1,0.32,Low
b3d8706b-ad54-40b6-a02e-6ad4f089d3c4,0.52,High
20c865f5-9d66-40a7-9018-aad08e67b6cb,0.7,High
c98e0fa1-55d8-4cf8-93dc-66945300e08c,0.36,Medium
680a9527-37f8-4302-a9bf-50eb8269797b,0.97,Low
4539ce36-3af4-4057-9899-c846ba4369f5,0.96,Low
7dba6d2e-1dee-4afa-84fc-d354499b8426,0.25,High
8a5e7f35-8e1e-4c3b-93d6-996c1a0ebc28,0.5,Low
788b0cc5-7c02-4e95-a4b6-d900b31f9563,0.3,High
73d21d25-0fcc-4b25-9bfc-286483460395,0.28,Low
1778c0b4-5783-43f0-8b74-9592e44e8093,0.04,High
b1cf81dc-7ba9-4c49-8b97-412105d6d63f,0.61,Low
ed018830-5dfb-4e91-9458-d72c827778ba,0.5,Medium
7c673641-2223-4550-95aa-19249abd883a,0.05,Low
e7a8dc53-dc90-4743-b917-331190d32375,0.28,Low
deaa75c5-08b7-4323-9567-15750deeb523,0.91,Medium
03db2bb2-07ae-40cf-8b35-fe3036b4d98d,0.24,Low
e7b956ae-096e-4613-971f-687524b71618,0.14,Medium
24f4826d-9714-4458-8511-3f2677b95670,0.49,Low
c22d8473-2061-4bcc-a0bb-6ba41a84ee21,0.99,High
ba2a6325-67a7-42de-a3d3-05b3fdd2638b,0.24,High
32da5465-ce65-4966-96bb-9aa17b22e37f,0.67,Low
caf6175b-6749-47a0-834d-b0734cbd20c1,0.76,Low
86640ad7-fdc1-4a1f-946b-4677d733793d,0.24,Low
a87a3193-6327-4538-8eed-7124d1847317,0.73,High
b00038f0-e26c-4f25-862c-b36e5a915732,0.37,Low
b11f662a-b4b8-41de-b3de-370102c7ca07,0.63,High
5153a235-f6e7-47af-914b-69f4145abeee,0.63,Medium
78596ed1-a38e-461b-92d6-2d5e291a973d,0.54,High
052b7ad1-62a2-45e6-b031-b19992170c0e,0.09,High
55bfa841-815f-4250-8019-51d1d61cae1e,0.84,Medium
16db4636-621f-4b14-9307-cd0872f8e49b,0.32,High
efc2d156-0d66-4353-add4-0db648aca1c4,0.19,Low
cc14a95c-8498-4049-a588-c2243e5e7387,0.04,Low
51d4f234-73d8-4cd0-8ba9-91d03e3ac5d4,0.59,High
0ab19421-a76d-47ed-ae16-143e6fd55441,0.68,Low
2f514e11-fcf5-45f8-b57f-f375a1383e5b,0.02,High
c4c18905-f881-4620-b0d4-36b2db16a3a2,0.51,Low
7e178e45-cb65-433f-96be-1b239a291e46,0.23,Low
68a8812a-9549-4b2b-aa02-04186c4d9b16,0.65,High
578c8a09-45c3-4609-a46e-988633f51590,0.17,Low
2bb0a543-1db6-49ae-9f8e-f984f44f7ada,0.69,High
bd455e35-4cd0-4ce4-a3a5-30870bbf5af9,0.39,Low
99dedba7-c244-4597-9dac-5c8de9b7042c,0.94,Low
6ca513d1-c597-41da-9d77-97b7af80af40,0.14,Medium
e13b5930-f82d-4997-a097-6d28148a01bc,0.34,Medium
4710ddd4-e2e5-4598-b516-8c7907aa9747,0.11,High
7ba662d6-9c45-4b32-b72d-2e2040474609,0.92,Medium
64bad30a-2ae7-4196-a85e-89a6571a36aa,0.88,High
5ee0e574-0e97-4380-ae58-667bf03690b0,0.26,Medium
38e905c0-79cc-4bfc-889b-767f8c01e9b0,0.66,Low
4fbbd46b-4424-46f1-9015-2ada49925ea8,0.82,High
e506ac82-4586-49bf-83dc-3a8c4ca975d1,0.56,High
1b458e52-ee1d-4069-9735-cf395574beb6,0.53,Low
1b752933-5079-4fce-94cd-6abcd8fc1588,0.24,High
ef864b0b-62d9-4ec3-a6db-f9117cd24ad2,0.09,High
2d790d57-7f3f-4e87-8acc-e0869b869578,0.9,Medium
e30e01f7-39d4-4324-98ed-431dff73ce5f,0.9,High
d0e0065d-3f6f-4853-9ab7-cca1e4af0aae,0.63,Low
a96dff98-78a2-407c-aef4-8135c9c9b7f3,0.34,Medium
8a3869b3-73da-4e65-9510-dfb63712d5eb,0.35,Medium
f327a68d-d98f-44f4-9586-6a15b3a0cdef,0.73,Low
98899c59-58d5-433e-abc2-4da36ab55e18,0.9,Low
2d21b8bd-1ba5-4630-af17-194cea32756f,0.89,Medium
f652504e-fbcd-48b8-b2c6-9a4e884c69aa,0.78,High
beb32545-6490-4409-9081-b0506be4a1e0,0.64,Medium
3a1d1aa5-9432-4910-9245-53a4a8549d22,0.08,Low
1863ed15-1d1d-4513-a462-0fa8b4b11772,0.16,Medium
3730307e-8abb-4f84-894f-ebe11514184c,0.9,Low
03256d34-542b-4a25-b30b-5df6ab86920a,0.61,Medium
8cc82a2f-6a78-4637-83e8-92771b799fb7,0.01,High
a379eaf4-6775-45f8-a9cf-564b6412daca,0.1,Medium
0a17c977-e0d1-4d78-a3eb-948e4e5a4679,0.66,Medium
2a370bbd-53f7-413e-8345-36aaa6e2d86a,0.01,Low
b0409262-7d2b-4aea-9285-3284e8c03204,0.16,Low
e2c22377-77ff-438a-8100-9836c61b9075,0.55,Low
4b309dc8-f22e-484b-a762-3759513970fb,0.69,Medium
bdd69a4d-63f5-441f-8a8b-d53fcd33f0e1,0.65,High
86efb78f-410d-4308-9ae5-500012ac8e5d,0.22,Low
52e662a6-6848-40d6-895f-f5c4b51f7d8d,0.71,Low
5036ebbb-cbf2-41b7-9f94-97a2f074eb18,0.24,Medium
f26a946a-f7ac-437b-b39b-d512eaf73062,0.33,Low
0314f29d-b8ca-4871-aab4-289dfe3889bc,0.75,High
0f2e58d4-7160-4c0b-a070-7a1c25c651dc,0.65,High
b9f7a279-ad01-42f6-8374-0f90fa6fbc93,0.85,Low
077e99d3-bd66-43f7-9615-4f3c3e608c96,0.66,Low
d3e19e35-84dc-448c-ae2a-e5772a3689ca,0.57,Medium
e6bfeda1-e3b7-4cb7-ad71-a150258e13e9,0.09,High
34b7385a-a03c-46e2-84ca-2dfef59ca398,0.37,High
c576d878-b679-4445-a834-e5c84f7a6fc8,0.27,Low
5c19c0f3-9b6a-4a16-a7ed-4f58236bf2be,0.24,Medium
7eb4e65b-ea35-471a-ab2a-52351901188e,0.97,High
46310028-63a2-49ae-812b-19622e61ba07,0.39,High
839474c2-72c1-4a5d-a0d0-ff9b5b185cac,0.89,Medium
da5f724d-5ac1-47a4-8f0e-8890ea14393e,0.63,Medium
035d17e2-282d-443a-baf8-a3c77cf54faa,0.79,High
9450eaea-253d-42e4-9e31-e270ffa3d0f1,0.5,High
258f5f33-d884-4f3c-86f5-de9f20ce665d,0.58,Medium
b162eb5c-be7f-44b4-a501-c212925ef183,0.49,High
66431abb-30f9-4678-91f2-97b94295464c,0.2,Low
2deb8c74-5fad-4814-b709-c2f8788a2996,0.72,Low
6370ff8b-14c8-49de-89c8-13ef0deca5f0,0.28,Medium
2fb8122e-6bd1-4049-aa9e-e1423739a846,0.02,Medium
bd40eed9-3c82-47c0-863c-3356e01e1537,0.65,Medium
3e885548-039b-4827-99cd-c3c1f3888108,0.18,Low
0391ba2a-fab1-42ee-85ac-b46905d47de2,0.94,High
ff7f17e7-f085-4761-9dac-2cf84dfee165,0.95,Low
44370a91-5242-4d32-8d37-449ad650909c,0.91,High
ff89634e-8c1f-41e3-976f-969435f29eb4,0.37,Low
861a06b9-0d5c-4f97-a7b1-e3a7cc79d954,0.02,High
3a7cc497-c14b-49d7-9138-76c66e5dabf6,0.93,Low
c326c4ee-c3f9-4c30-8b54-0e37ac798dd7,0.43,Medium
3d03f92b-4fc6-4d81-bb90-601bf440f2ec,0.97,Low
3c1f8fcd-26fd-4f4d-ac1b-cb0c7803e8a4,0.96,High
2fa06339-afb2-49ac-852a-0ff9adbff7d6,0.85,Low
38c773c1-1bf4-468b-9a49-9a4310fc1d6f,0.29,Low
25d5f94f-716b-4436-a016-ea1a33e605ae,0.39,Low
a75d9602-579c-4f30-93c2-41ba5bfbd7bd,0.85,Medium
30c99640-3322-4e42-b3e9-67eebe3902b9,0.32,Low
18250854-857c-43f6-96a4-183ee41e0e70,0.17,Medium
36dcc893-82d8-487a-acec-4541df60da71,0.56,Medium
5832a43c-1be0-480e-9ac6-c761edecb2f7,0.94,Low
44e1c518-6aca-45b7-8f51-121a252c1e07,0.7,Low
840f1b25-815c-4c4b-9ba4-c791c715d8ed,0.57,Low
73f78c2b-7b0b-4a39-b41e-36a7baea61e8,0.1,High
9d8deec0-790d-4f0f-be72-662ef6761354,0.62,Low
5e2b5cc6-435a-49f2-a688-73002212c984,0.99,Medium
42943112-0d9f-4763-a200-db10c7f5e1aa,0.14,Low
6c9419a6-dcab-48d0-bdce-6fc372734f30,0.52,High
c93dacf1-1e97-42e1-9ea7-c5d5d020ef05,0.88,Low
91d70c24-71fa-4443-9a17-067d73a490a5,0.74,High
ccbe8c85-fedb-4b3c-b60e-3de9dbee0463,0.7,High
cd864f10-f524-4718-9794-e9d23600abda,0.7,Low
a4b94d11-6f54-4819-ba14-d250895ac2b4,0.36,Medium
a5b8289b-d7c0-41f0-a9d1-32af6b84891a,0.29,High
87ef9f85-ae3e-4c24-a232-d153c90cb256,0.81,Low
21d03481-37c5-4c1a-8531-feeb22570faa,0.81,Low
712c917e-2502-4f30-868a-6ec01a1bd729,0.87,Medium
8378438f-7a66-443f-a551-430c4f5963d5,0.91,High
a39652a1-d66b-49d1-9b4b-7249ee774e67,0.51,High
ce9bf2de-2efd-41a1-b922-5df15df9172a,0.5,Low
7e20b9ab-33a9-4cdb-9033-c35953de15ef,0.8,Low
55634e0f-d428-45bf-93e7-ee7b5daf1e32,0.65,Medium
2a935a07-b5fc-4a0e-bf09-7e0740cba199,0.7,Medium
84c5b2d2-7266-416a-bd7f-f4531d6f5f60,0.8,High
e1c73466-5dac-43ad-b5e1-0448c1800728,0.89,High
ee1757ef-44f2-40c3-8e9e-8311a1f9f1e6,0.34,Low
26ed0fe0-af60-4c4e-a408-b84a4ea69dc1,0.38,High
c6ba1bd3-01ed-4e5c-8c78-5c7f98c39792,0.09,Medium
cb06c4c8-bce7-4b6f-9cd8-3f5645166d16,0.58,Medium
fecab0dc-8f48-4e62-ac02-4cc9d4c367eb,0.04,Low
e065ed35-af4c-4bca-8041-c0985a84dba5,0.47,Medium
4ec67247-1a8f-42b7-947e-cc0dbf4dd669,0.54,Medium
1bad945e-9681-481b-a709-d100c4050074,0.29,Medium
712ceb9a-4202-48f2-a7ed-ab4eda80c9fd,0.59,Medium
5f2fb780-116d-4d0a-b80c-8f0ba15b542a,0.03,Low
278db7bc-314c-4482-a9e9-abd4f00b1a2d,0.04,Low
af857c91-4423-4f4d-aeba-6dc93726cb26,0.82,High
720d3a4a-d75f-452c-bc8a-8985ea5eeaba,0.36,Medium
19f7fde9-7bc5-43b4-858f-917cbfbe4df3,0.13,High
0cd799fc-7a54-4795-b847-9e722a6b3b72,0.52,Low
9a5987b5-157d-4e59-922b-120c41971720,0.77,Low
278c8ab4-83f4-4e0e-8de7-ca2f805952e6,0.22,Low
8baaff5c-63d8-41b5-832d-8269942841f8,0.62,Low
46e0efbf-6a67-4975-8828-a3578e14e58a,0.09,Low
