policy_id,driver_id,vehicle_id,coverage_type,premium_amount,last_updated
POL-8d4a011c,8d4a011c-353d-4972-b2b1-6dfca18db048,VEH-2610,Basic,1064.82,2025-09-11 16:37:28
POL-cb52d799,cb52d799-473d-4c95-a5c6-3b2f7af0e439,VEH-2802,Premium,1177.69,2025-09-11 16:37:28
POL-e39887dd,e39887dd-ee77-46a1-a9a0-056016da709f,VEH-6158,Standard,1481.23,2025-09-11 16:37:28
POL-366013ed,366013ed-9cd2-4ef5-8a3d-89e20ae760cc,VEH-6556,Premium,1047.41,2025-09-11 16:37:28
POL-cf8f4de1,cf8f4de1-6eb6-4e40-990d-b1ad7323d34c,VEH-4209,Standard,1169.23,2025-09-11 16:37:28
POL-6d8ef278,6d8ef278-4be6-4798-a391-cc9fadf380ee,VEH-1791,Basic,1334.79,2025-09-11 16:37:28
POL-4707595c,4707595c-c633-48be-a4db-173c5cfbcb26,VEH-8692,Basic,1433.1,2025-09-11 16:37:28
POL-4db8ff6e,4db8ff6e-4840-4cef-abe1-bfc7809d9731,VEH-8962,Premium,1108.14,2025-09-11 16:37:28
POL-dd08a99d,dd08a99d-5e4b-47c4-9723-b2344dfaa341,VEH-9522,Standard,1003.49,2025-09-11 16:37:28
POL-9dd62653,9dd62653-5c36-47f7-a2fa-7510746c370f,VEH-1067,Premium,818.32,2025-09-11 16:37:28
POL-57642a95,57642a95-46b6-44b0-8940-719cee9e0e22,VEH-8532,Basic,982.38,2025-09-11 16:37:28
POL-7619aa69,7619aa69-b45f-4c22-8edb-36f6277211fc,VEH-7045,Premium,950.14,2025-09-11 16:37:28
POL-8ee14e8e,8ee14e8e-e3c5-4ddd-8a39-0728056ca43b,VEH-4901,Basic,749.6,2025-09-11 16:37:28
POL-a1026f68,a1026f68-fe8d-4749-ac8a-18d61ab60629,VEH-5343,Basic,991.95,2025-09-11 16:37:28
POL-967cb014,967cb014-a46b-4d6e-b8fd-490c9c31bebe,VEH-8252,Standard,1281.96,2025-09-11 16:37:28
POL-93b6d01d,93b6d01d-1985-4d2d-ba5d-3919d7cbc54f,VEH-4000,Standard,1290.15,2025-09-11 16:37:28
POL-b341f968,b341f968-e7a6-490d-aa3a-5c289dd29753,VEH-4480,Premium,732.58,2025-09-11 16:37:28
POL-8ae25e23,8ae25e23-5170-4d48-95b4-0d34f3b443cd,VEH-7041,Standard,841.56,2025-09-11 16:37:28
POL-c212e540,c212e540-221a-433f-9a30-d2ae2a1f7d6e,VEH-7687,Basic,1374.77,2025-09-11 16:37:28
POL-37e6e7de,37e6e7de-f0b6-4d17-8126-4a1f20fa5750,VEH-5055,Standard,762.22,2025-09-11 16:37:28
POL-2fa87d5c,2fa87d5c-583f-4607-a85f-7a53974591c9,VEH-2261,Standard,759.95,2025-09-11 16:37:28
POL-ad9ff66b,ad9ff66b-dbc0-442f-ae8d-2e16fb0cd7d7,VEH-7754,Standard,1327.84,2025-09-11 16:37:28
POL-c99f2f38,c99f2f38-1c51-46c6-937a-ce911ed9c337,VEH-7802,Premium,746.56,2025-09-11 16:37:28
POL-7bb9c05f,7bb9c05f-1dc5-4afb-86f6-1e81755cc244,VEH-7437,Basic,881.42,2025-09-11 16:37:28
POL-8d40f1c8,8d40f1c8-35a6-483f-9c3b-530f08654653,VEH-2945,Premium,1467.72,2025-09-11 16:37:28
POL-d8c4d22e,d8c4d22e-5f4f-4a1b-b7db-6d869032a31e,VEH-2234,Premium,678.17,2025-09-11 16:37:28
POL-4aa88b8f,4aa88b8f-2d30-4cd7-8ab8-7c89c78edf59,VEH-3584,Standard,1305.83,2025-09-11 16:37:28
POL-e75c70a2,e75c70a2-002c-4f4a-835e-2b71c3fef6aa,VEH-1642,Premium,759.8,2025-09-11 16:37:28
POL-9dcdb1dd,9dcdb1dd-8df9-40f2-8704-0be4b4ea53bd,VEH-1059,Standard,971.09,2025-09-11 16:37:28
POL-1c7122c8,1c7122c8-f14e-4069-bdb6-484f887c1638,VEH-2192,Standard,1266.82,2025-09-11 16:37:28
POL-d9e82448,d9e82448-cdde-4579-9642-81fb190babee,VEH-1552,Standard,1171.83,2025-09-11 16:37:28
POL-82f4ac24,82f4ac24-c5c8-4722-9cae-428258b4a498,VEH-6196,Standard,1056.13,2025-09-11 16:37:28
POL-a20f9639,a20f9639-0c5a-46e7-860c-6b18e0a74994,VEH-5854,Standard,1138.22,2025-09-11 16:37:28
POL-906b3762,906b3762-f86a-47e7-8230-efce258ecb4f,VEH-3602,Premium,629.23,2025-09-11 16:37:28
POL-c27a9130,c27a9130-76df-47e7-ae07-6bc7342488f8,VEH-7808,Basic,1445.05,2025-09-11 16:37:28
POL-6ebabeed,6ebabeed-4ade-4c04-bb7b-41030559e877,VEH-1226,Basic,718.65,2025-09-11 16:37:28
POL-6769ff4f,6769ff4f-6ce0-4c79-91de-8e57de44494f,VEH-9529,Basic,1128.86,2025-09-11 16:37:28
POL-2794f854,2794f854-87df-4431-b57b-82b38b4590b6,VEH-4926,Standard,1115.63,2025-09-11 16:37:28
POL-b04eab5e,b04eab5e-077a-4835-8482-5e8f709acdc1,VEH-4272,Basic,882.29,2025-09-11 16:37:28
POL-b3d8706b,b3d8706b-ad54-40b6-a02e-6ad4f089d3c4,VEH-5512,Premium,810.93,2025-09-11 16:37:28
POL-20c865f5,20c865f5-9d66-40a7-9018-aad08e67b6cb,VEH-5536,Premium,729.7,2025-09-11 16:37:28
POL-c98e0fa1,c98e0fa1-55d8-4cf8-93dc-66945300e08c,VEH-3466,Premium,774.74,2025-09-11 16:37:28
POL-680a9527,680a9527-37f8-4302-a9bf-50eb8269797b,VEH-8493,Basic,1120.77,2025-09-11 16:37:28
POL-4539ce36,4539ce36-3af4-4057-9899-c846ba4369f5,VEH-5895,Standard,787.01,2025-09-11 16:37:28
POL-7dba6d2e,7dba6d2e-1dee-4afa-84fc-d354499b8426,VEH-8256,Basic,904.51,2025-09-11 16:37:28
POL-8a5e7f35,8a5e7f35-8e1e-4c3b-93d6-996c1a0ebc28,VEH-8495,Premium,987.36,2025-09-11 16:37:28
POL-788b0cc5,788b0cc5-7c02-4e95-a4b6-d900b31f9563,VEH-5967,Premium,652.26,2025-09-11 16:37:28
POL-73d21d25,73d21d25-0fcc-4b25-9bfc-286483460395,VEH-6749,Premium,1037.52,2025-09-11 16:37:28
POL-1778c0b4,1778c0b4-5783-43f0-8b74-9592e44e8093,VEH-6426,Premium,662.34,2025-09-11 16:37:28
POL-b1cf81dc,b1cf81dc-7ba9-4c49-8b97-412105d6d63f,VEH-5956,Standard,785.99,2025-09-11 16:37:28
POL-ed018830,ed018830-5dfb-4e91-9458-d72c827778ba,VEH-6199,Standard,958.23,2025-09-11 16:37:28
POL-7c673641,7c673641-2223-4550-95aa-19249abd883a,VEH-7812,Premium,716.95,2025-09-11 16:37:28
POL-e7a8dc53,e7a8dc53-dc90-4743-b917-331190d32375,VEH-4737,Basic,846.93,2025-09-11 16:37:28
POL-deaa75c5,deaa75c5-08b7-4323-9567-15750deeb523,VEH-8142,Premium,1452.36,2025-09-11 16:37:28
POL-03db2bb2,03db2bb2-07ae-40cf-8b35-fe3036b4d98d,VEH-7727,Premium,807.4,2025-09-11 16:37:28
POL-e7b956ae,e7b956ae-096e-4613-971f-687524b71618,VEH-4558,Premium,1248.88,2025-09-11 16:37:28
POL-24f4826d,24f4826d-9714-4458-8511-3f2677b95670,VEH-8061,Standard,1460.5,2025-09-11 16:37:28
POL-c22d8473,c22d8473-2061-4bcc-a0bb-6ba41a84ee21,VEH-5790,Basic,1045.38,2025-09-11 16:37:28
POL-ba2a6325,ba2a6325-67a7-42de-a3d3-05b3fdd2638b,VEH-1775,Premium,879.73,2025-09-11 16:37:28
POL-32da5465,32da5465-ce65-4966-96bb-9aa17b22e37f,VEH-2434,Basic,1037.79,2025-09-11 16:37:28
POL-caf6175b,caf6175b-6749-47a0-834d-b0734cbd20c1,VEH-2688,Premium,1130.54,2025-09-11 16:37:28
POL-86640ad7,86640ad7-fdc1-4a1f-946b-4677d733793d,VEH-8638,Premium,824.31,2025-09-11 16:37:28
POL-a87a3193,a87a3193-6327-4538-8eed-7124d1847317,VEH-1666,Basic,1003.17,2025-09-11 16:37:28
POL-b00038f0,b00038f0-e26c-4f25-862c-b36e5a915732,VEH-2257,Premium,896.29,2025-09-11 16:37:28
POL-b11f662a,b11f662a-b4b8-41de-b3de-370102c7ca07,VEH-1535,Premium,1039.76,2025-09-11 16:37:28
POL-5153a235,5153a235-f6e7-47af-914b-69f4145abeee,VEH-4081,Premium,726.01,2025-09-11 16:37:28
POL-78596ed1,78596ed1-a38e-461b-92d6-2d5e291a973d,VEH-5578,Premium,1029.82,2025-09-11 16:37:28
POL-052b7ad1,052b7ad1-62a2-45e6-b031-b19992170c0e,VEH-5082,Basic,1218.2,2025-09-11 16:37:28
POL-55bfa841,55bfa841-815f-4250-8019-51d1d61cae1e,VEH-5577,Premium,1298.88,2025-09-11 16:37:28
POL-16db4636,16db4636-621f-4b14-9307-cd0872f8e49b,VEH-6309,Basic,1258.0,2025-09-11 16:37:28
POL-efc2d156,efc2d156-0d66-4353-add4-0db648aca1c4,VEH-4227,Basic,1093.15,2025-09-11 16:37:28
POL-cc14a95c,cc14a95c-8498-4049-a588-c2243e5e7387,VEH-2089,Premium,1113.69,2025-09-11 16:37:28
POL-51d4f234,51d4f234-73d8-4cd0-8ba9-91d03e3ac5d4,VEH-9217,Premium,729.68,2025-09-11 16:37:28
POL-0ab19421,0ab19421-a76d-47ed-ae16-143e6fd55441,VEH-6402,Basic,1231.54,2025-09-11 16:37:28
POL-2f514e11,2f514e11-fcf5-45f8-b57f-f375a1383e5b,VEH-2569,Standard,1492.85,2025-09-11 16:37:28
POL-c4c18905,c4c18905-f881-4620-b0d4-36b2db16a3a2,VEH-7735,Basic,997.79,2025-09-11 16:37:28
POL-7e178e45,7e178e45-cb65-433f-96be-1b239a291e46,VEH-8360,Standard,678.04,2025-09-11 16:37:28
POL-68a8812a,68a8812a-9549-4b2b-aa02-04186c4d9b16,VEH-1347,Premium,905.34,2025-09-11 16:37:28
POL-578c8a09,578c8a09-45c3-4609-a46e-988633f51590,VEH-8267,Premium,959.86,2025-09-11 16:37:28
POL-2bb0a543,2bb0a543-1db6-49ae-9f8e-f984f44f7ada,VEH-9658,Premium,968.36,2025-09-11 16:37:28
POL-bd455e35,bd455e35-4cd0-4ce4-a3a5-30870bbf5af9,VEH-1004,Standard,1108.87,2025-09-11 16:37:28
POL-99dedba7,99dedba7-c244-4597-9dac-5c8de9b7042c,VEH-9204,Premium,1155.5,2025-09-11 16:37:28
POL-6ca513d1,6ca513d1-c597-41da-9d77-97b7af80af40,VEH-2055,Basic,1090.73,2025-09-11 16:37:28
POL-e13b5930,e13b5930-f82d-4997-a097-6d28148a01bc,VEH-3026,Premium,1023.37,2025-09-11 16:37:28
POL-4710ddd4,4710ddd4-e2e5-4598-b516-8c7907aa9747,VEH-7816,Standard,1339.39,2025-09-11 16:37:28
POL-7ba662d6,7ba662d6-9c45-4b32-b72d-2e2040474609,VEH-7594,Premium,1172.28,2025-09-11 16:37:28
POL-64bad30a,64bad30a-2ae7-4196-a85e-89a6571a36aa,VEH-5424,Premium,904.41,2025-09-11 16:37:28
POL-5ee0e574,5ee0e574-0e97-4380-ae58-667bf03690b0,VEH-6116,Basic,777.25,2025-09-11 16:37:28
POL-38e905c0,38e905c0-79cc-4bfc-889b-767f8c01e9b0,VEH-6275,Basic,709.42,2025-09-11 16:37:28
POL-4fbbd46b,4fbbd46b-4424-46f1-9015-2ada49925ea8,VEH-2024,Standard,1092.74,2025-09-11 16:37:28
POL-e506ac82,e506ac82-4586-49bf-83dc-3a8c4ca975d1,VEH-5619,Basic,1007.05,2025-09-11 16:37:28
POL-1b458e52,1b458e52-ee1d-4069-9735-cf395574beb6,VEH-8039,Premium,953.74,2025-09-11 16:37:28
POL-1b752933,1b752933-5079-4fce-94cd-6abcd8fc1588,VEH-5480,Basic,986.64,2025-09-11 16:37:28
POL-ef864b0b,ef864b0b-62d9-4ec3-a6db-f9117cd24ad2,VEH-9315,Premium,972.05,2025-09-11 16:37:28
POL-2d790d57,2d790d57-7f3f-4e87-8acc-e0869b869578,VEH-9893,Premium,903.69,2025-09-11 16:37:28
POL-e30e01f7,e30e01f7-39d4-4324-98ed-431dff73ce5f,VEH-3859,Standard,1433.86,2025-09-11 16:37:28
POL-d0e0065d,d0e0065d-3f6f-4853-9ab7-cca1e4af0aae,VEH-9253,Basic,1474.25,2025-09-11 16:37:28
POL-a96dff98,a96dff98-78a2-407c-aef4-8135c9c9b7f3,VEH-5356,Premium,1362.28,2025-09-11 16:37:28
POL-8a3869b3,8a3869b3-73da-4e65-9510-dfb63712d5eb,VEH-3314,Basic,1046.49,2025-09-11 16:37:28
POL-f327a68d,f327a68d-d98f-44f4-9586-6a15b3a0cdef,VEH-5174,Basic,970.15,2025-09-11 16:37:28
POL-98899c59,98899c59-58d5-433e-abc2-4da36ab55e18,VEH-8653,Basic,1427.64,2025-09-11 16:37:28
POL-2d21b8bd,2d21b8bd-1ba5-4630-af17-194cea32756f,VEH-1766,Standard,989.84,2025-09-11 16:37:28
POL-f652504e,f652504e-fbcd-48b8-b2c6-9a4e884c69aa,VEH-5167,Basic,1087.43,2025-09-11 16:37:28
POL-beb32545,beb32545-6490-4409-9081-b0506be4a1e0,VEH-2985,Premium,1491.23,2025-09-11 16:37:28
POL-3a1d1aa5,3a1d1aa5-9432-4910-9245-53a4a8549d22,VEH-1481,Basic,865.84,2025-09-11 16:37:28
POL-1863ed15,1863ed15-1d1d-4513-a462-0fa8b4b11772,VEH-2133,Basic,1288.14,2025-09-11 16:37:28
POL-3730307e,3730307e-8abb-4f84-894f-ebe11514184c,VEH-1532,Basic,1087.96,2025-09-11 16:37:28
POL-03256d34,03256d34-542b-4a25-b30b-5df6ab86920a,VEH-9549,Premium,1216.39,2025-09-11 16:37:28
POL-8cc82a2f,8cc82a2f-6a78-4637-83e8-92771b799fb7,VEH-4189,Premium,1137.83,2025-09-11 16:37:28
POL-a379eaf4,a379eaf4-6775-45f8-a9cf-564b6412daca,VEH-7666,Standard,889.99,2025-09-11 16:37:28
POL-0a17c977,0a17c977-e0d1-4d78-a3eb-948e4e5a4679,VEH-2745,Premium,737.96,2025-09-11 16:37:28
POL-2a370bbd,2a370bbd-53f7-413e-8345-36aaa6e2d86a,VEH-3248,Standard,609.17,2025-09-11 16:37:28
POL-b0409262,b0409262-7d2b-4aea-9285-3284e8c03204,VEH-5704,Basic,734.92,2025-09-11 16:37:28
POL-e2c22377,e2c22377-77ff-438a-8100-9836c61b9075,VEH-7862,Basic,1024.37,2025-09-11 16:37:28
POL-4b309dc8,4b309dc8-f22e-484b-a762-3759513970fb,VEH-9114,Premium,698.09,2025-09-11 16:37:28
POL-bdd69a4d,bdd69a4d-63f5-441f-8a8b-d53fcd33f0e1,VEH-9293,Premium,1167.49,2025-09-11 16:37:28
POL-86efb78f,86efb78f-410d-4308-9ae5-500012ac8e5d,VEH-8382,Basic,827.61,2025-09-11 16:37:28
