trip_id,timestamp,accel_x,accel_y,accel_z,braking_g,cornering_g
TRIP-873f08-1,2025-09-11 16:38:56,-0.61,0.0,-0.24,0.99,0.5
TRIP-873f08-1,2025-09-11 16:38:58,-0.84,1.3,-1.3,0.2,0.93
TRIP-873f08-1,2025-09-11 16:39:00,-0.96,-1.91,-2.16,0.82,0.93
TRIP-873f08-1,2025-09-11 16:39:02,-2.73,1.86,-2.81,0.12,0.39
TRIP-873f08-1,2025-09-11 16:39:04,-1.13,2.64,1.33,0.81,0.57
TRIP-873f08-1,2025-09-11 16:39:06,1.02,2.12,2.2,0.47,0.32
TRIP-873f08-2,2025-09-11 16:37:28,-2.85,-0.07,-1.58,0.25,0.83
TRIP-873f08-2,2025-09-11 16:37:30,-0.26,-2.36,-2.7,0.31,0.31
TRIP-873f08-2,2025-09-11 16:37:32,-2.15,0.01,0.36,0.0,0.78
TRIP-873f08-2,2025-09-11 16:37:34,2.21,2.4,0.82,0.95,0.32
TRIP-873f08-2,2025-09-11 16:37:36,1.77,-1.16,0.45,0.5,0.1
TRIP-873f08-2,2025-09-11 16:37:38,-1.53,-2.22,2.95,0.57,0.61
TRIP-873f08-2,2025-09-11 16:37:40,1.58,2.43,-1.26,0.54,0.54
TRIP-873f08-2,2025-09-11 16:37:42,2.12,-0.44,1.62,0.73,0.96
TRIP-873f08-2,2025-09-11 16:37:44,-0.38,0.17,0.46,1.0,0.18
TRIP-873f08-2,2025-09-11 16:37:46,-1.67,-2.17,-1.46,0.85,0.31
TRIP-873f08-2,2025-09-11 16:37:48,1.86,-1.04,-2.16,0.56,0.61
TRIP-873f08-2,2025-09-11 16:37:50,0.95,0.79,0.83,0.66,0.57
TRIP-873f08-2,2025-09-11 16:37:52,-1.24,-0.65,0.85,0.48,0.21
TRIP-873f08-2,2025-09-11 16:37:54,1.68,-0.79,-1.94,0.32,0.2
TRIP-873f08-2,2025-09-11 16:37:56,-0.34,2.87,0.3,0.42,0.86
TRIP-873f08-2,2025-09-11 16:37:58,-1.07,0.74,1.28,0.54,0.96
TRIP-873f08-2,2025-09-11 16:38:00,-0.57,-2.34,1.4,0.67,0.93
TRIP-873f08-2,2025-09-11 16:38:02,-2.9,1.53,2.74,0.15,0.3
TRIP-873f08-2,2025-09-11 16:38:04,-2.89,-2.81,-1.1,0.9,0.54
TRIP-873f08-2,2025-09-11 16:38:06,1.86,-1.24,1.82,0.22,0.51
TRIP-873f08-2,2025-09-11 16:38:08,-1.89,0.32,1.73,0.57,0.86
TRIP-873f08-2,2025-09-11 16:38:10,1.12,-2.15,-2.8,0.45,0.44
TRIP-873f08-2,2025-09-11 16:38:12,-2.3,-2.02,1.84,0.77,0.77
TRIP-873f08-2,2025-09-11 16:38:14,1.71,0.36,-0.63,0.47,0.31
TRIP-873f08-2,2025-09-11 16:38:16,0.01,0.65,2.73,0.99,0.38
TRIP-873f08-2,2025-09-11 16:38:18,1.12,-1.63,-2.77,0.56,0.78
TRIP-873f08-2,2025-09-11 16:38:20,-1.21,1.32,0.29,0.35,0.93
TRIP-873f08-2,2025-09-11 16:38:22,-2.16,1.43,-1.37,0.12,0.25
TRIP-873f08-2,2025-09-11 16:38:24,2.39,0.69,-1.76,0.53,0.06
TRIP-873f08-2,2025-09-11 16:38:26,0.89,-1.54,-2.45,0.39,0.69
TRIP-873f08-2,2025-09-11 16:38:28,0.96,1.64,2.28,0.06,0.4
TRIP-873f08-2,2025-09-11 16:38:30,1.23,-0.6,0.52,0.57,0.76
TRIP-873f08-2,2025-09-11 16:38:32,-1.31,2.36,-2.6,0.19,0.4
TRIP-873f08-2,2025-09-11 16:38:34,2.44,-2.08,2.41,0.07,0.34
TRIP-873f08-2,2025-09-11 16:38:36,1.14,-0.67,-2.43,0.14,0.2
TRIP-873f08-2,2025-09-11 16:38:38,-0.26,-0.41,-0.77,0.33,0.86
TRIP-873f08-2,2025-09-11 16:38:40,-0.31,-2.01,2.86,0.29,0.65
TRIP-873f08-2,2025-09-11 16:38:42,1.92,1.96,-0.99,0.72,0.52
TRIP-873f08-2,2025-09-11 16:38:44,-2.31,-0.43,2.76,0.06,0.43
TRIP-873f08-2,2025-09-11 16:38:46,0.6,0.23,-2.21,0.62,0.65
TRIP-873f08-2,2025-09-11 16:38:48,1.93,-0.79,-2.28,0.17,0.55
TRIP-873f08-2,2025-09-11 16:38:50,-0.87,0.25,-2.93,0.79,0.71
TRIP-873f08-2,2025-09-11 16:38:52,-1.85,2.8,1.59,0.49,0.0
TRIP-873f08-2,2025-09-11 16:38:54,-0.79,0.78,2.13,0.59,0.16
TRIP-873f08-2,2025-09-11 16:38:56,-0.83,-2.59,0.24,0.26,0.27
TRIP-873f08-2,2025-09-11 16:38:58,1.49,-1.23,0.51,0.58,0.65
TRIP-873f08-2,2025-09-11 16:39:00,1.08,-1.92,-2.83,0.59,0.25
TRIP-873f08-2,2025-09-11 16:39:02,-0.32,0.52,0.77,0.61,0.54
TRIP-873f08-2,2025-09-11 16:39:04,2.75,-0.78,-2.04,0.62,0.97
TRIP-873f08-2,2025-09-11 16:39:06,-2.35,-0.2,1.31,0.38,0.53
TRIP-95562c-0,2025-09-11 16:37:28,-2.4,-1.0,0.59,0.17,0.99
TRIP-95562c-0,2025-09-11 16:37:30,0.53,-2.4,0.01,0.64,0.56
TRIP-95562c-0,2025-09-11 16:37:32,1.36,2.75,0.23,0.22,0.25
TRIP-95562c-0,2025-09-11 16:37:34,-1.66,1.05,-0.07,0.94,0.32
TRIP-95562c-0,2025-09-11 16:37:36,-2.75,2.24,0.41,0.49,0.48
TRIP-95562c-0,2025-09-11 16:37:38,2.39,1.71,1.68,0.28,0.5
TRIP-95562c-0,2025-09-11 16:37:40,2.94,0.12,-2.46,0.67,0.08
TRIP-95562c-0,2025-09-11 16:37:42,-0.26,-1.31,-1.15,0.15,0.92
TRIP-95562c-0,2025-09-11 16:37:44,-0.72,-2.5,-2.87,0.01,0.69
TRIP-95562c-0,2025-09-11 16:37:46,-2.54,1.34,1.95,0.54,0.18
TRIP-95562c-0,2025-09-11 16:37:48,-2.15,2.82,2.62,0.5,0.99
TRIP-95562c-0,2025-09-11 16:37:50,0.32,-1.01,1.13,0.79,0.59
TRIP-95562c-0,2025-09-11 16:37:52,-0.35,2.5,0.25,0.43,0.25
TRIP-95562c-0,2025-09-11 16:37:54,-0.64,0.57,-2.25,0.64,0.47
TRIP-95562c-0,2025-09-11 16:37:56,-0.87,1.41,-2.27,0.37,0.19
TRIP-95562c-0,2025-09-11 16:37:58,-2.54,1.9,2.85,0.92,0.8
TRIP-95562c-0,2025-09-11 16:38:00,-0.8,0.27,-0.12,0.72,0.41
TRIP-95562c-0,2025-09-11 16:38:02,0.94,-1.29,-0.42,0.97,0.02
TRIP-95562c-0,2025-09-11 16:38:04,-2.69,-2.67,-0.03,0.23,0.02
TRIP-95562c-0,2025-09-11 16:38:06,-1.57,-0.65,2.92,0.24,0.79
TRIP-95562c-0,2025-09-11 16:38:08,1.57,-0.94,1.83,0.41,0.34
TRIP-95562c-0,2025-09-11 16:38:10,0.33,2.56,1.18,0.4,0.27
TRIP-95562c-0,2025-09-11 16:38:12,-2.26,-0.58,2.99,0.33,0.49
TRIP-95562c-0,2025-09-11 16:38:14,-1.48,-1.94,-1.57,0.69,0.74
TRIP-95562c-0,2025-09-11 16:38:16,1.59,-2.59,1.45,0.62,0.23
TRIP-95562c-0,2025-09-11 16:38:18,-1.98,1.14,-2.72,0.21,0.2
TRIP-95562c-0,2025-09-11 16:38:20,-1.26,-2.53,-2.54,0.66,0.11
TRIP-95562c-0,2025-09-11 16:38:22,0.14,1.23,2.27,0.03,0.33
TRIP-95562c-0,2025-09-11 16:38:24,-2.97,-0.26,1.72,0.1,0.41
TRIP-95562c-0,2025-09-11 16:38:26,-1.66,0.07,2.14,0.58,0.01
TRIP-95562c-0,2025-09-11 16:38:28,2.76,-2.95,0.97,0.13,0.75
TRIP-95562c-0,2025-09-11 16:38:30,-2.13,-0.6,-2.88,0.43,0.34
TRIP-95562c-0,2025-09-11 16:38:32,2.85,-2.08,-1.86,0.64,0.07
TRIP-95562c-0,2025-09-11 16:38:34,1.92,0.24,2.72,0.29,0.75
TRIP-95562c-0,2025-09-11 16:38:36,2.59,-0.03,-0.18,0.43,0.11
TRIP-95562c-0,2025-09-11 16:38:38,0.8,-1.06,1.1,0.71,0.07
TRIP-95562c-0,2025-09-11 16:38:40,0.11,2.46,2.52,0.13,0.6
TRIP-95562c-0,2025-09-11 16:38:42,1.82,2.42,-2.23,0.81,0.15
TRIP-95562c-0,2025-09-11 16:38:44,0.43,-1.77,-1.46,0.86,0.36
TRIP-95562c-0,2025-09-11 16:38:46,1.75,0.19,-0.58,0.69,0.62
TRIP-95562c-0,2025-09-11 16:38:48,0.59,2.71,1.93,0.15,0.71
TRIP-95562c-0,2025-09-11 16:38:50,-2.22,0.59,2.48,0.89,0.44
TRIP-95562c-0,2025-09-11 16:38:52,0.97,-2.73,-2.54,0.0,0.02
TRIP-95562c-0,2025-09-11 16:38:54,-1.2,2.54,1.95,0.9,0.02
TRIP-95562c-0,2025-09-11 16:38:56,1.11,1.38,-2.01,0.34,0.44
TRIP-95562c-0,2025-09-11 16:38:58,0.17,-0.61,1.24,0.99,0.85
TRIP-95562c-0,2025-09-11 16:39:00,0.11,2.71,1.14,0.14,0.91
TRIP-95562c-0,2025-09-11 16:39:02,-0.79,-1.94,-2.43,0.09,0.55
TRIP-95562c-0,2025-09-11 16:39:04,1.22,-2.26,-0.57,0.29,0.15
TRIP-95562c-0,2025-09-11 16:39:06,-2.0,2.24,1.65,0.03,0.95
TRIP-95562c-1,2025-09-11 16:37:28,-1.51,-0.65,2.0,0.59,0.05
TRIP-95562c-1,2025-09-11 16:37:30,-1.57,2.37,-0.14,0.42,0.12
TRIP-95562c-1,2025-09-11 16:37:32,1.26,0.16,1.62,0.57,0.1
TRIP-95562c-1,2025-09-11 16:37:34,-2.19,1.19,1.32,0.41,0.9
TRIP-95562c-1,2025-09-11 16:37:36,-0.62,0.06,2.56,0.04,0.5
TRIP-95562c-1,2025-09-11 16:37:38,1.19,1.15,1.58,0.21,0.78
TRIP-95562c-1,2025-09-11 16:37:40,1.05,-0.68,-1.16,0.77,0.18
TRIP-95562c-1,2025-09-11 16:37:42,0.44,-0.27,-1.88,0.25,0.94
TRIP-95562c-1,2025-09-11 16:37:44,-2.65,-1.27,1.61,0.46,0.28
TRIP-95562c-1,2025-09-11 16:37:46,1.76,-0.01,0.49,0.61,0.07
TRIP-95562c-1,2025-09-11 16:37:48,-2.22,0.2,-1.3,0.65,0.82
TRIP-95562c-1,2025-09-11 16:37:50,2.65,0.31,1.21,0.22,0.66
TRIP-95562c-1,2025-09-11 16:37:52,-0.95,2.63,0.52,0.2,0.68
TRIP-95562c-1,2025-09-11 16:37:54,2.68,-0.02,-0.33,0.48,0.43
TRIP-95562c-1,2025-09-11 16:37:56,-1.04,-2.7,0.96,0.16,0.1
TRIP-95562c-1,2025-09-11 16:37:58,-1.19,1.66,2.45,0.96,0.51
TRIP-95562c-1,2025-09-11 16:38:00,2.86,2.12,1.03,0.25,0.61
TRIP-95562c-1,2025-09-11 16:38:02,-0.86,-1.82,-1.66,0.1,0.88
TRIP-95562c-1,2025-09-11 16:38:04,0.75,-0.35,-2.01,0.2,0.59
TRIP-95562c-1,2025-09-11 16:38:06,1.11,0.07,-1.33,0.67,1.0
TRIP-95562c-1,2025-09-11 16:38:08,2.84,-1.89,1.77,0.26,0.25
TRIP-95562c-1,2025-09-11 16:38:10,-0.41,-2.12,0.25,0.82,0.71
TRIP-95562c-1,2025-09-11 16:38:12,0.72,0.32,2.39,0.55,0.7
TRIP-95562c-1,2025-09-11 16:38:14,2.23,-2.92,2.32,0.26,0.42
TRIP-95562c-1,2025-09-11 16:38:16,2.72,-0.06,0.72,0.79,0.53
TRIP-95562c-1,2025-09-11 16:38:18,0.58,2.63,-2.58,0.79,0.08
TRIP-95562c-1,2025-09-11 16:38:20,-0.15,-1.35,2.92,0.14,0.23
TRIP-95562c-1,2025-09-11 16:38:22,2.47,2.91,-2.05,0.96,0.2
TRIP-95562c-1,2025-09-11 16:38:24,2.99,2.24,-0.39,0.03,0.52
TRIP-95562c-1,2025-09-11 16:38:26,-1.35,2.36,1.0,0.88,0.44
TRIP-95562c-1,2025-09-11 16:38:28,2.42,1.41,-1.08,0.68,0.73
TRIP-95562c-1,2025-09-11 16:38:30,1.51,-2.34,2.76,0.75,0.57
TRIP-95562c-1,2025-09-11 16:38:32,-2.72,-0.01,0.2,0.0,0.47
TRIP-95562c-1,2025-09-11 16:38:34,2.44,2.41,0.03,0.19,0.46
TRIP-95562c-1,2025-09-11 16:38:36,0.89,2.77,-0.9,0.99,0.35
TRIP-95562c-1,2025-09-11 16:38:38,2.12,1.6,-0.86,0.98,0.87
TRIP-95562c-1,2025-09-11 16:38:40,-0.79,-0.96,2.36,0.31,0.89
TRIP-95562c-1,2025-09-11 16:38:42,0.3,2.99,2.97,0.94,0.11
TRIP-95562c-1,2025-09-11 16:38:44,-2.37,-0.59,-1.26,0.25,0.3
TRIP-95562c-1,2025-09-11 16:38:46,1.97,-2.02,1.93,0.52,0.3
TRIP-95562c-1,2025-09-11 16:38:48,-1.9,1.95,-1.74,0.59,0.89
TRIP-95562c-1,2025-09-11 16:38:50,1.29,0.69,0.35,0.02,0.04
TRIP-95562c-1,2025-09-11 16:38:52,-2.2,2.59,-0.49,0.27,0.71
TRIP-95562c-1,2025-09-11 16:38:54,-2.2,-1.79,2.68,0.57,0.31
TRIP-95562c-1,2025-09-11 16:38:56,-1.44,1.71,-2.11,0.35,0.66
TRIP-95562c-1,2025-09-11 16:38:58,-0.02,-0.09,0.14,0.78,0.76
TRIP-95562c-1,2025-09-11 16:39:00,2.33,-0.9,-2.31,0.12,0.71
TRIP-95562c-1,2025-09-11 16:39:02,-2.17,-1.42,-2.77,0.58,0.65
TRIP-95562c-1,2025-09-11 16:39:04,-1.23,-1.83,-2.89,0.27,0.7
TRIP-95562c-1,2025-09-11 16:39:06,-1.87,-0.79,0.86,0.53,0.91
TRIP-95562c-2,2025-09-11 16:37:28,-1.5,0.79,1.41,0.21,0.87
TRIP-95562c-2,2025-09-11 16:37:30,2.27,2.63,-2.57,0.02,0.05
TRIP-95562c-2,2025-09-11 16:37:32,-2.8,-2.48,-1.24,0.78,0.03
TRIP-95562c-2,2025-09-11 16:37:34,0.93,1.16,-2.03,0.68,0.2
TRIP-95562c-2,2025-09-11 16:37:36,-2.07,-2.43,-1.79,0.21,1.0
TRIP-95562c-2,2025-09-11 16:37:38,2.02,-0.75,0.34,0.33,0.51
TRIP-95562c-2,2025-09-11 16:37:40,-1.45,-2.7,1.05,0.57,0.65
TRIP-95562c-2,2025-09-11 16:37:42,0.12,-0.55,2.21,0.62,0.73
TRIP-95562c-2,2025-09-11 16:37:44,-1.67,2.67,-1.84,0.61,0.31
TRIP-95562c-2,2025-09-11 16:37:46,0.4,-1.45,2.07,0.0,0.03
TRIP-95562c-2,2025-09-11 16:37:48,-0.08,1.79,1.52,0.32,0.91
TRIP-95562c-2,2025-09-11 16:37:50,-2.36,2.35,2.21,0.74,0.51
TRIP-95562c-2,2025-09-11 16:37:52,-0.55,2.59,2.5,0.24,0.91
TRIP-95562c-2,2025-09-11 16:37:54,-2.71,1.16,2.85,0.91,0.52
TRIP-95562c-2,2025-09-11 16:37:56,0.96,-2.26,-2.98,0.06,0.16
TRIP-95562c-2,2025-09-11 16:37:58,0.07,-2.86,-2.85,0.64,0.01
TRIP-95562c-2,2025-09-11 16:38:00,0.22,-0.19,2.98,0.36,0.78
TRIP-95562c-2,2025-09-11 16:38:02,2.13,-1.91,2.18,0.63,0.67
TRIP-95562c-2,2025-09-11 16:38:04,-2.1,-1.33,0.74,0.5,0.9
TRIP-95562c-2,2025-09-11 16:38:06,-2.7,-0.75,-2.35,0.42,0.96
TRIP-95562c-2,2025-09-11 16:38:08,-0.92,2.84,-2.24,0.74,0.91
TRIP-95562c-2,2025-09-11 16:38:10,-1.05,1.54,2.29,0.34,0.93
TRIP-95562c-2,2025-09-11 16:38:12,-2.46,1.04,0.08,0.03,0.36
TRIP-95562c-2,2025-09-11 16:38:14,-2.33,-2.47,-0.39,0.25,0.53
TRIP-95562c-2,2025-09-11 16:38:16,-0.75,0.85,-1.19,0.33,0.41
TRIP-95562c-2,2025-09-11 16:38:18,1.03,1.08,-0.5,0.51,0.83
TRIP-95562c-2,2025-09-11 16:38:20,-2.01,-2.75,-0.05,0.96,0.96
TRIP-95562c-2,2025-09-11 16:38:22,-0.11,-2.97,1.44,0.01,0.67
TRIP-95562c-2,2025-09-11 16:38:24,2.17,1.59,0.45,0.57,0.18
TRIP-95562c-2,2025-09-11 16:38:26,1.24,-2.69,0.88,0.94,0.49
TRIP-95562c-2,2025-09-11 16:38:28,-2.66,-1.94,-0.18,0.92,0.01
TRIP-95562c-2,2025-09-11 16:38:30,-0.75,0.57,0.87,0.74,0.74
TRIP-95562c-2,2025-09-11 16:38:32,0.73,2.65,0.58,0.75,0.81
TRIP-95562c-2,2025-09-11 16:38:34,-1.7,1.02,1.57,0.84,0.93
TRIP-95562c-2,2025-09-11 16:38:36,1.88,-0.91,-0.95,0.22,0.86
TRIP-95562c-2,2025-09-11 16:38:38,-0.19,-0.91,0.61,0.47,0.74
TRIP-95562c-2,2025-09-11 16:38:40,-0.57,-0.85,0.87,0.49,0.68
TRIP-95562c-2,2025-09-11 16:38:42,0.75,2.42,2.1,0.91,0.81
TRIP-95562c-2,2025-09-11 16:38:44,-0.95,2.39,2.55,0.42,0.53
TRIP-95562c-2,2025-09-11 16:38:46,-2.08,2.91,0.29,0.24,0.83
TRIP-95562c-2,2025-09-11 16:38:48,1.46,1.05,-0.64,0.95,0.91
TRIP-95562c-2,2025-09-11 16:38:50,-1.59,0.06,-2.75,0.45,0.95
TRIP-95562c-2,2025-09-11 16:38:52,-1.37,-1.64,-1.01,0.51,0.23
TRIP-95562c-2,2025-09-11 16:38:54,-2.43,-2.42,-1.87,0.1,0.03
TRIP-95562c-2,2025-09-11 16:38:56,-0.55,-0.88,1.42,0.75,0.12
TRIP-95562c-2,2025-09-11 16:38:58,2.37,-1.35,0.74,0.8,0.88
TRIP-95562c-2,2025-09-11 16:39:00,1.2,-1.04,-0.28,0.97,0.54
TRIP-95562c-2,2025-09-11 16:39:02,1.77,1.43,-2.45,0.82,0.03
TRIP-95562c-2,2025-09-11 16:39:04,2.8,2.48,2.45,0.79,0.77
TRIP-95562c-2,2025-09-11 16:39:06,-1.74,-2.18,-1.02,0.92,0.42
TRIP-632021-0,2025-09-11 16:37:28,-2.36,-2.64,-0.82,0.65,0.95
TRIP-632021-0,2025-09-11 16:37:30,1.15,-2.34,2.82,0.49,0.97
TRIP-632021-0,2025-09-11 16:37:32,-1.97,-2.68,-1.08,0.61,0.83
TRIP-632021-0,2025-09-11 16:37:34,-2.97,-0.9,0.76,0.49,0.76
TRIP-632021-0,2025-09-11 16:37:36,-1.57,0.21,-2.47,0.39,0.33
TRIP-632021-0,2025-09-11 16:37:38,-1.89,1.23,0.08,0.52,0.35
